,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
110,96.79,33.6920074123,302.268919356,53.5534698137,195.134911211,12.274712197,142,76,146,0.0177346544071,"[582103, array([ 3.71219187, -1.82560697,  1.74954592]), array([ 0.82104266, -0.42240725,  0.38400659])]"
48,93.48,47.6432865399,198.513980631,13.3018638711,299.667566283,39.2896308046,90,14,162,0.0177848376758,"[365931, array([ 4.19372029, -2.24061018,  1.91928036]), array([ 0.82104266, -0.42240725,  0.38400659])]"
255,104.16,45.2276159686,-0.241593649739,13.8610169498,257.159893689,41.4751455709,278,14,8,0.0177920773117,"[1127254, array([ 4.02066765, -2.05657482,  1.7853546 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
189,90.32,33.5243188237,267.52632895,56.4441408725,359.472258752,1.29024659764,230,68,26,0.0178146365724,"[937723, array([ 3.74174673, -2.01112572,  1.7987886 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
32,98.24,48.2817348352,196.23290083,7.05849236046,292.37830095,40.845720357,78,8,152,0.0181009813458,"[316786, array([ 4.1491092 , -2.13185112,  2.03980419]), array([ 0.82104266, -0.42240725,  0.38400659])]"
13,98.81,47.5943935728,192.069495989,2.97149712328,284.772129872,42.2509633447,60,4,138,0.0181175944713,"[243519, array([ 4.11678345, -2.22108281,  1.94098163]), array([ 0.82104266, -0.42240725,  0.38400659])]"
40,95.74,48.7162682789,198.473858605,10.9490948191,297.547842655,39.1873433727,84,12,156,0.0181854981681,"[341448, array([ 4.22902655, -2.07203797,  1.96978325]), array([ 0.82104266, -0.42240725,  0.38400659])]"
192,91.28,34.8048227451,271.8258659,55.193977787,181.460759258,0.253809266057,232,66,26,0.0182083835803,"[945643, array([ 3.82681852, -1.88682004,  1.82040912]), array([ 0.82104266, -0.42240725,  0.38400659])]"
305,100.99,47.8052325746,7.93017564964,2.77746458363,275.42133651,42.0595533251,324,4,46,0.0182743831359,"[1312673, array([ 4.14838898, -2.05847992,  1.85925722]), array([ 0.82104266, -0.42240725,  0.38400659])]"
112,97.88,32.2614979324,306.868517003,54.186024465,196.855348111,13.8719444016,144,78,146,0.0184294826945,"[590383, array([ 3.5887603 , -1.90344742,  1.7584892 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
17,98.91,48.6548144788,194.155049984,4.59278756505,288.155726345,40.9744908905,64,6,140,0.0184470203487,"[259900, array([ 4.18581532, -2.05307382,  1.96805279]), array([ 0.82104266, -0.42240725,  0.38400659])]"
178,86.02,40.1319888553,227.352786932,42.8028982505,337.632738167,20.519066443,216,78,46,0.0185544497727,"[881933, array([ 4.02908323, -2.16802208,  1.94225612]), array([ 0.82104266, -0.42240725,  0.38400659])]"
211,102.48,34.3603527607,-34.7627789957,47.0421134842,208.892217986,22.4512782217,250,48,10,0.0187081686793,"[1016915, array([ 3.62856063, -1.82852938,  1.77170949]), array([ 0.82104266, -0.42240725,  0.38400659])]"
180,85.4,39.0617007885,233.03913949,46.1429129411,341.280414586,16.7399137595,218,76,42,0.0187107943407,"[889851, array([ 4.03168279, -2.11745442,  1.80378044]), array([ 0.82104266, -0.42240725,  0.38400659])]"
132,107.85,40.4388086055,350.93691909,27.9814433215,237.500921954,36.8183652608,172,88,118,0.0189546322916,"[704669, array([ 3.76117703, -1.93739878,  1.85437054]), array([ 0.82104266, -0.42240725,  0.38400659])]"
81,85.81,41.8326958237,220.521855597,38.1620035311,331.616328253,24.6070504231,110,40,164,0.0189809959181,"[449272, array([ 4.09208515, -2.21064948,  1.91415148]), array([ 0.82104266, -0.42240725,  0.38400659])]"
64,90.84,46.4895832068,207.426129149,23.015513733,314.414373989,34.5203677417,100,24,164,0.0190407007078,"[407332, array([ 4.17464334, -2.1982031 ,  2.05645898]), array([ 0.82104266, -0.42240725,  0.38400659])]"
