,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
121,79.52,27.8498303283,299.190955654,55.5374285045,179.785581382,18.6224240584,128,84,146,0.0253259401324,"[526123, array([ 3.67654025, -1.96216339,  1.63084965]), array([ 0.82104266, -0.42240725,  0.38400659])]"
298,84.41,40.6269865004,344.338575477,11.5286287503,241.672714264,47.0692820109,238,12,-16,0.0254090381161,"[965062, array([ 4.07367742, -2.13056565,  1.78043834]), array([ 0.82104266, -0.42240725,  0.38400659])]"
108,74.92,29.5295476325,268.527457385,59.7660156447,168.286743918,5.91553612456,118,74,154,0.0254934987249,"[484727, array([ 3.85165664, -1.84935646,  1.78780946]), array([ 0.82104266, -0.42240725,  0.38400659])]"
319,85.7,39.3869870012,340.503440664,17.7173984234,231.688615451,45.2708914993,240,18,-10,0.0255299779618,"[973705, array([ 4.0292426 , -2.03614724,  1.74843144]), array([ 0.82104266, -0.42240725,  0.38400659])]"
98,70.36,29.1582360439,238.619447894,60.3233501946,337.536763137,5.04793985054,110,66,162,0.0255586540067,"[451611, array([ 3.83984191, -2.1002142 ,  1.76820651]), array([ 0.82104266, -0.42240725,  0.38400659])]"
241,84.86,42.3516220038,352.068822979,3.06314827421,258.722755197,47.4841130093,222,4,-40,0.0255781896877,"[899530, array([ 4.07126069, -2.0979482 ,  2.04367702]), array([ 0.82104266, -0.42240725,  0.38400659])]"
293,85.22,42.4964837537,350.109532698,5.56167100268,254.12327818,46.9636933846,238,6,-22,0.0256251279811,"[964519, array([ 4.10786049, -1.99448022,  1.97576684]), array([ 0.82104266, -0.42240725,  0.38400659])]"
243,79.18,28.4893163454,297.892165892,55.1819560706,179.517344232,18.2897923861,222,56,8,0.0256273385781,"[904234, array([ 3.73022083, -1.92643895,  1.62134133]), array([ 0.82104266, -0.42240725,  0.38400659])]"
160,83.6,43.0422617899,173.99290164,0.415742590261,264.438037404,46.954714556,162,2,-102,0.0256858673568,"[656319, array([ 4.12167849, -2.08052188,  2.05532445]), array([ 0.82104266, -0.42240725,  0.38400659])]"
308,87.32,35.9946563885,332.616305745,29.9194520932,214.218709055,39.5710860129,238,30,-4,0.0256869170565,"[966688, array([ 3.88848217, -1.86933461,  1.76458024]), array([ 0.82104266, -0.42240725,  0.38400659])]"
237,84.77,42.2509633447,352.069495989,2.97149712328,258.811254799,47.5943935728,220,4,-42,0.0257230738175,"[891429, array([ 4.06487933, -2.11932349,  2.04368275]), array([ 0.82104266, -0.42240725,  0.38400659])]"
132,80.87,43.370346232,171.983399124,1.17541423184,263.226876127,46.6055052201,136,2,-126,0.0257285476893,"[551007, array([ 4.23018506, -2.07777113,  1.85530365]), array([ 0.82104266, -0.42240725,  0.38400659])]"
212,83.07,43.3314173981,352.01618385,1.11822968946,260.831520972,46.6467245368,206,2,-56,0.0257424705513,"[834542, array([ 4.1835336 , -2.00751417,  1.94390621]), array([ 0.82104266, -0.42240725,  0.38400659])]"
192,67.87,36.6208428296,199.376717014,41.7180118025,315.967115318,26.6597507687,194,84,48,0.025769095815,"[793374, array([ 4.13422648, -2.26625145,  1.9135568 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
346,86.51,38.9567542695,343.145897256,15.9599830538,235.499559098,46.6675472635,342,86,-106,0.0257961886723,"[1392877, array([ 3.94068371, -2.16585609,  1.84393405]), array([ 0.82104266, -0.42240725,  0.38400659])]"
66,67.55,36.6519066667,205.013439503,44.7182037974,319.446579529,22.6712668682,98,46,168,0.0258047276741,"[401214, array([ 4.19735665, -2.11024919,  1.82117807]), array([ 0.82104266, -0.42240725,  0.38400659])]"
69,78.49,43.067543858,173.91641347,5.76676605617,269.994071967,46.3530316491,100,6,-164,0.02582585916,"[405548, array([ 4.23364914, -2.21046545,  1.84648301]), array([ 0.82104266, -0.42240725,  0.38400659])]"
305,88.88,35.3196450075,337.044033237,27.7039250011,218.710202008,42.1086818957,238,28,-8,0.0258413898569,"[966506, array([ 3.754587  , -2.0381743 ,  1.85673025]), array([ 0.82104266, -0.42240725,  0.38400659])]"
230,75.24,27.6278710247,276.370509773,60.7031319222,169.997863359,8.9877537164,216,64,14,0.025855115185,"[880657, array([ 3.73725832, -1.98744904,  1.6493733 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
82,69.5,33.6433181728,216.985789271,51.7193586776,328.431071406,16.0951163062,104,54,166,0.0258648415825,"[426233, array([ 4.01892705, -2.0822296 ,  2.0205771 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
255,81.86,29.4921843262,-50.2086096796,49.8339538904,186.893610762,24.6285701187,226,50,4,0.0259497373339,"[919892, array([ 3.72465776, -1.92975554,  1.61892986]), array([ 0.82104266, -0.42240725,  0.38400659])]"
343,87.42,37.206945186,339.614365097,21.9436214032,226.121764149,44.6960915784,338,86,-112,0.0259558937309,"[1376674, array([ 3.86487415, -2.12539124,  1.81023027]), array([ 0.82104266, -0.42240725,  0.38400659])]"
226,73.63,29.1582360439,265.380552106,60.3233501946,166.463236863,5.04793985054,214,66,18,0.0259571107757,"[872739, array([ 3.85644818, -1.92916502,  1.67444336]), array([ 0.82104266, -0.42240725,  0.38400659])]"
303,86.33,37.2970279034,336.745879185,23.7519793435,222.233321865,43.3143999666,238,24,-8,0.0260009864464,"[966146, array([ 3.9341362 , -2.05627642,  1.71580329]), array([ 0.82104266, -0.42240725,  0.38400659])]"
55,70.36,39.0431502951,195.854960904,35.59591284,311.270305879,30.94515344,96,36,172,0.0260801614761,"[392216, array([ 4.1718823 , -2.21246298,  2.09506872]), array([ 0.82104266, -0.42240725,  0.38400659])]"
75,78.58,42.8743508866,173.907295986,5.70533925482,269.962977023,46.5582223633,102,6,-162,0.026088243577,"[413649, array([ 4.21606088, -2.24212312,  1.859255  ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
246,84.95,42.4554418384,352.067814459,3.15107141932,258.639052054,47.3707953875,224,4,-38,0.0261525991165,"[907631, array([ 4.07788618, -2.07612524,  2.0434561 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
106,73.98,28.0622376328,258.589653817,61.8607804236,165.00567278,1.9148584987,116,72,158,0.0261784985767,"[476449, array([ 3.73799138, -1.97438208,  1.8795394 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
120,82.61,43.5931911269,173.982553612,1.43853858517,265.492111427,46.3706562639,128,2,-136,0.0261787570356,"[518602, array([ 4.18636081, -2.0197542 ,  1.99494062]), array([ 0.82104266, -0.42240725,  0.38400659])]"
349,81.93,42.9662839224,350.069827322,1.99878115941,257.927738925,46.9638462448,350,88,-92,0.0261798537751,"[1425464, array([ 4.20373768, -2.06990799,  1.83723362]), array([ 0.82104266, -0.42240725,  0.38400659])]"
232,75.81,27.7529998742,270.816534843,61.4207472501,169.143707079,6.28946915959,216,66,16,0.0261807764901,"[880838, array([ 3.70603794, -1.92093749,  1.86494207]), array([ 0.82104266, -0.42240725,  0.38400659])]"
345,88.19,38.4283198204,343.298400991,17.9546569002,233.642069834,46.0698072821,342,86,-108,0.0262321056094,"[1392876, array([ 3.87589174, -2.10096305,  1.92294138]), array([ 0.82104266, -0.42240725,  0.38400659])]"
214,69.55,32.3277977273,231.520644869,56.3540379785,334.236504091,8.33451632636,206,74,30,0.026258977989,"[841065, array([ 4.03749823, -1.97290471,  1.77477655]), array([ 0.82104266, -0.42240725,  0.38400659])]"
162,83.66,43.0293782015,173.994031119,0.347227956713,264.365984659,46.9685125457,164,2,-100,0.0263145379719,"[664420, array([ 4.11926873, -2.0803576 ,  2.05823343]), array([ 0.82104266, -0.42240725,  0.38400659])]"
253,84.55,41.4450668156,350.146058265,4.97137447817,254.578428129,48.1217219589,226,6,-34,0.0263653237315,"[915913, array([ 4.03591271, -2.20763551,  1.97942898]), array([ 0.82104266, -0.42240725,  0.38400659])]"
233,84.67,42.1535727755,352.069830294,2.876230323,258.904462069,47.7014834868,218,4,-44,0.0265223305279,"[883328, array([ 4.05875357, -2.14022652,  2.0434758 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
347,86.79,39.4278541888,344.99640162,13.9652040128,239.416942899,47.202258958,344,86,-104,0.0266213411003,"[1400978, array([ 3.9378489 , -2.16694374,  1.90553073]), array([ 0.82104266, -0.42240725,  0.38400659])]"
67,80.27,43.7718447523,173.962936259,3.84480905801,267.949427621,45.9703473589,100,4,-164,0.0266252639048,"[405368, array([ 4.2506251 , -2.05360146,  1.89173771]), array([ 0.82104266, -0.42240725,  0.38400659])]"
137,84.41,31.0359694743,-44.0697393098,45.963868638,192.903082212,27.7892554894,138,88,136,0.0266612327046,"[566978, array([ 3.74868542, -1.79566361,  1.75179013]), array([ 0.82104266, -0.42240725,  0.38400659])]"
29,74.74,42.3839549152,186.312996523,21.9436214032,295.766598203,39.5789166237,92,22,176,0.0266720577286,"[374758, array([ 4.21857049, -2.19101395,  2.12606703]), array([ 0.82104266, -0.42240725,  0.38400659])]"
2,76.19,43.8927424815,182.160642559,15.9599830538,286.959052042,41.7682121127,88,16,176,0.0266869780768,"[358018, array([ 4.30078326, -2.05779089,  1.98876033]), array([ 0.82104266, -0.42240725,  0.38400659])]"
87,80.67,42.6839297199,175.89863316,5.63694567383,271.923885611,46.7618644491,106,6,-160,0.0267978460089,"[429850, array([ 4.13064885, -2.25041292,  2.04288145]), array([ 0.82104266, -0.42240725,  0.38400659])]"
263,83.86,29.4921843262,-48.2086096796,49.8339538904,188.893610762,24.6285701187,228,50,4,0.0268271143898,"[927992, array([ 3.6670681 , -1.80719344,  1.80489684]), array([ 0.82104266, -0.42240725,  0.38400659])]"
301,86.54,37.5620944448,338.76763173,21.6487475166,225.762219234,44.5567287141,238,22,-10,0.0268565610475,"[965965, array([ 3.91673775, -2.11697546,  1.75261541]), array([ 0.82104266, -0.42240725,  0.38400659])]"
11,76.32,43.4515433712,184.20512845,17.9546569002,290.620110855,41.0909464285,90,18,176,0.0268720001295,"[366298, array([ 4.25373379, -2.09893948,  2.09633672]), array([ 0.82104266, -0.42240725,  0.38400659])]"
3,74.32,43.4515433712,182.20512845,17.9546569002,288.620110855,41.0909464285,88,18,176,0.0269312025891,"[358198, array([ 4.32311497, -2.10690545,  1.89967435]), array([ 0.82104266, -0.42240725,  0.38400659])]"
37,69.62,40.4910174989,188.919798291,29.8189506069,302.700869587,35.1287731551,92,30,174,0.0269515154991,"[375477, array([ 4.2676181 , -2.24679484,  1.86311868]), array([ 0.82104266, -0.42240725,  0.38400659])]"
164,83.73,43.0188176283,173.995189652,0.278290773502,264.293413087,46.9798274625,166,2,-98,0.0269582981761,"[672521, array([ 4.11703922, -2.07976676,  2.06105292]), array([ 0.82104266, -0.42240725,  0.38400659])]"
14,72.8,42.2915391351,182.128241067,19.9872968445,290.558225714,40.9972468964,90,20,178,0.0269899605909,"[366479, array([ 4.28009354, -2.25766813,  1.87057401]), array([ 0.82104266, -0.42240725,  0.38400659])]"
183,74.82,42.835538293,186.807834829,21.9858989571,295.954904834,39.0900430555,186,88,68,0.0270019151367,"[761344, array([ 4.25073012, -2.11977196,  2.11289991]), array([ 0.82104266, -0.42240725,  0.38400659])]"
44,76.67,42.5542095669,177.866966964,11.9332926274,280.064892473,44.9931415482,94,12,-174,0.0270081721486,"[381783, array([ 4.20214363, -2.31152848,  1.94740744]), array([ 0.82104266, -0.42240725,  0.38400659])]"
325,86.84,41.4922957852,348.23391699,9.60886734446,247.809452484,46.9039303604,242,10,-16,0.0270474846879,"[981082, array([ 4.03523336, -1.99048987,  1.98924733]), array([ 0.82104266, -0.42240725,  0.38400659])]"
338,88.53,34.137671103,331.34849405,33.9764608625,210.048784504,37.6284612071,330,88,-124,0.0270615665683,"[1344448, array([ 3.75726969, -1.85004234,  1.84927081]), array([ 0.82104266, -0.42240725,  0.38400659])]"
129,80.81,43.4112185089,171.983062954,1.23116765348,263.283582841,46.5622902654,134,2,-128,0.0272306714386,"[542906, array([ 4.23444457, -2.07232339,  1.85142954]), array([ 0.82104266, -0.42240725,  0.38400659])]"
117,82.56,43.6430484295,173.98263824,1.48615447677,265.539349257,46.3183698565,126,2,-138,0.0273845641091,"[510501, array([ 4.19126165, -2.01267591,  1.99094111]), array([ 0.82104266, -0.42240725,  0.38400659])]"
254,82.67,41.6106628305,348.141610894,5.08566917797,252.481960084,47.9363462806,226,6,-32,0.0273917818109,"[915914, array([ 4.11295021, -2.21501815,  1.82824455]), array([ 0.82104266, -0.42240725,  0.38400659])]"
119,79.24,26.6489526841,292.447131889,59.0478693204,176.747151827,14.5782737388,126,82,150,0.0273969857668,"[517845, array([ 3.58622708, -1.94057532,  1.79029081]), array([ 0.82104266, -0.42240725,  0.38400659])]"
70,78.67,42.5643377204,175.867901558,7.7608788378,274.092748388,46.3884524784,100,8,-166,0.0274140150742,"[405727, array([ 4.16829878, -2.3021701 ,  1.96177213]), array([ 0.82104266, -0.42240725,  0.38400659])]"
251,85.04,42.5623121138,352.066475262,3.23515870045,258.560224168,47.2545974248,226,4,-36,0.0274506297948,"[915732, array([ 4.08474417, -2.0538798 ,  2.04301745]), array([ 0.82104266, -0.42240725,  0.38400659])]"
286,83.22,42.4964837537,348.109532698,5.56167100268,252.12327818,46.9636933846,236,6,-22,0.0274552359786,"[956419, array([ 4.1733728 , -2.03554711,  1.82835776]), array([ 0.82104266, -0.42240725,  0.38400659])]"
204,69.45,36.0681014713,210.915810421,47.0421134842,324.018245551,20.070175894,200,80,42,0.0274732753292,"[817311, array([ 4.12866944, -2.03729236,  2.03878699]), array([ 0.82104266, -0.42240725,  0.38400659])]"
215,83.12,43.370346232,352.016600876,1.17541423184,260.773123873,46.6055052201,208,2,-54,0.0275275311801,"[842643, array([ 4.18541935, -1.99857389,  1.94459836]), array([ 0.82104266, -0.42240725,  0.38400659])]"
326,85.0,41.8097395515,346.207290145,9.70004098525,245.808901353,46.5578737013,242,10,-14,0.0275763127708,"[981083, array([ 4.12263001, -1.97812243,  1.8484577 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
166,83.8,43.0105917347,173.996371601,0.20901493779,264.220425197,46.9886439409,168,2,-96,0.0276135983144,"[680622, array([ 4.11499256, -2.07875001,  2.06378061]), array([ 0.82104266, -0.42240725,  0.38400659])]"
281,85.64,33.8869628028,326.471606274,35.9746455315,204.755882922,35.9137385306,234,36,-2,0.027617186757,"[951029, array([ 3.84629031, -1.91851985,  1.66246828]), array([ 0.82104266, -0.42240725,  0.38400659])]"
60,78.42,43.2633005831,173.925941029,5.82114904839,270.017257456,46.1465556817,98,6,-166,0.0276292137028,"[397447, array([ 4.25111807, -2.17815178,  1.83372884]), array([ 0.82104266, -0.42240725,  0.38400659])]"
