,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
5,16.61,49.0305836192,129.265564055,18.4885752498,232.816362242,35.0202828101,16,20,158,0.017998670215,"[66769, array([ 4.48386047, -1.31129513, -1.28214842]), array([ 0.92322091, -0.26257841, -0.28056324])]"
18,19.36,43.8407179674,163.321290954,40.0964343394,270.119045153,18.9440188114,44,44,158,0.0180571900499,"[182329, array([ 4.37097071, -1.21126828, -1.40920174]), array([ 0.92322091, -0.26257841, -0.28056324])]"
92,18.0,53.0,288.0,0.0,198.0,37.0,288,8,90,0.0181050343544,"[1167255, array([ 4.57560811, -1.23638809, -1.45240686]), array([ 0.92322091, -0.26257841, -0.28056324])]"
40,18.0,53.0,108.0,8.53773646252e-07,198.0,37.0,108,82,90,0.0181050343544,"[444915, array([ 4.57560811, -1.23638809, -1.45240686]), array([ 0.92322091, -0.26257841, -0.28056324])]"
10,16.31,46.6289319342,138.203328384,26.5189634346,245.972702987,31.4500426759,28,28,162,0.0182148127952,"[116091, array([ 4.40540651, -1.3358124 , -1.30859723]), array([ 0.92322091, -0.26257841, -0.28056324])]"
74,23.5,52.755575595,279.147159176,10.6799601354,181.507875094,35.179819879,230,14,40,0.0182496090375,"[932870, array([ 4.61082238, -1.40661396, -1.40591844]), array([ 0.92322091, -0.26257841, -0.28056324])]"
38,24.31,53.5075095401,277.886168943,11.815042927,179.79253415,33.9424017522,100,80,102,0.018308825373,"[412341, array([ 4.66420003, -1.27164045, -1.33480221]), array([ 0.92322091, -0.26257841, -0.28056324])]"
19,23.68,43.7865929626,179.190398107,43.5127664998,281.37793255,12.5366863849,52,50,154,0.0184510167759,"[215267, array([ 4.43807802, -1.26337502, -1.25688124]), array([ 0.92322091, -0.26257841, -0.28056324])]"
56,29.93,48.3839180345,244.416824931,36.2143146386,140.935816844,17.6591509265,190,42,28,0.0185350482116,"[773384, array([ 4.57660709, -1.36923858, -1.46493789]), array([ 0.92322091, -0.26257841, -0.28056324])]"
31,31.02,48.4557777193,246.426792221,35.8403601909,142.734082605,18.1453123205,80,72,128,0.018554122821,"[330634, array([ 4.59925957, -1.38426511, -1.344883  ]), array([ 0.92322091, -0.26257841, -0.28056324])]"
61,28.48,50.8572854452,257.913099027,27.8974796758,153.57324398,25.0712583159,200,32,28,0.0185656781555,"[812984, array([ 4.61621118, -1.3649332 , -1.48936001]), array([ 0.92322091, -0.26257841, -0.28056324])]"
68,25.58,52.4311480419,272.377203253,16.8609214176,171.273802153,32.4324448192,216,20,32,0.0185741960154,"[876706, array([ 4.6198937 , -1.40689664, -1.44034532]), array([ 0.92322091, -0.26257841, -0.28056324])]"
