,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
126,49.035570382,32.9813525196,-82.6037926143,45.6759231016,157.469211104,25.9782061121,196,46,6,0.017589157775,"[798033,,array([,4.36348316,,-2.0221857,,,,0.42492423]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
151,49.0395621311,37.6241124549,296.97517292,25.9829778826,181.636518351,41.2872047646,296,88,-116,0.0134939513,"[1206752,,array([,4.50593598,,-2.13087687,,,0.3694238,]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
119,49.0958792003,30.739791513,-85.2864336792,49.6273829307,154.042925996,23.4469003185,194,50,6,0.0199303977144,"[790293,,array([,4.2409001,,,-2.1421092,,,,0.45177523]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
142,49.1573481524,38.4965214801,302.627584138,19.6834980794,191.707077775,44.9475293618,202,20,-10,0.00722782965473,"[819985,,array([,4.51273471,,-2.19472937,,,0.45693684]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
59,49.1589294613,32.6377948705,-82.1315813058,45.8556595272,157.484024445,26.1470100802,102,86,136,0.00983586003088,"[420998,,array([,4.34101792,,-2.05620622,,,0.42567774]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
137,49.2136107949,35.889089132,-70.0,34.0,170.786389205,35.889089132,200,34,0,0.0190038616961,"[813150,,array([,4.45752101,,-2.09147026,,,0.34172706]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
135,49.2425784463,35.9149279373,292.357982996,31.9781927522,173.406180669,37.787723207,200,32,-2,0.017132153194,"[812969,,array([,4.4410086,,,-2.17018954,,,0.33155448]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
140,49.3874958662,38.8341450637,304.598292637,17.5936489988,195.509519119,45.8837487955,202,18,-12,0.0180867161985,"[819804,,array([,4.51731325,,-2.19415985,,,0.51305873]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
61,49.4590385031,34.4733547008,284.322620898,39.9707191482,163.936062186,31.108983345,106,88,130,0.017778912565,"[437375,,array([,4.41306925,,-2.04250293,,,0.39395118]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
60,49.4885686262,32.2095875462,282.069745239,43.9663040917,159.860795558,28.9248817399,104,88,134,0.0205279484443,"[429277,,array([,4.29266454,,-2.18580443,,,0.37887997]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
130,49.6508659852,33.8856852312,285.38993147,39.9707191482,164.180671956,31.722971252,198,40,2,0.00454346171526,"[805591,,array([,4.37204879,,-2.12106891,,,0.38593508]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
131,49.7491726221,33.9512832169,282.62453494,41.874454679,162.143219941,29.5035637081,198,42,4,0.0208165636169,"[805772,,array([,4.3919074,,,-2.02392579,,,0.44550177]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
149,49.9020702244,35.9671790815,295.154309862,29.9798507651,176.710475469,39.5444805722,294,88,-120,0.0149167493089,"[1198650,,array([,4.42152725,,-2.22064589,,,0.39451338]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
125,49.9216646152,31.7813603851,-79.7482356554,45.8556595272,158.415543102,27.111013068,196,46,4,0.0188032956147,"[798032,,array([,4.27585896,,-2.14159363,,,0.46599635]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
148,49.9480540074,36.8723041284,294.30908857,29.9798507651,176.823542539,38.6609986558,202,30,-2,0.0184879948365,"[820889,,array([,4.48282832,,-2.07127234,,,0.43136477]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
147,50.0290369615,36.9545572827,296.52820316,27.9258150218,179.76151276,40.3530041342,202,28,-4,0.00710164861098,"[820708,,array([,4.46997071,,-2.13640679,,,0.44005625]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
146,50.1580446771,37.095269334,298.669828538,25.8470136981,182.898070771,41.9086253742,202,26,-6,0.010426391298,"[820527,,array([,4.46010916,,-2.18912989,,,0.46238317]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
144,50.3301865491,37.2970279034,300.745879185,23.7519793435,186.233321865,43.3143999666,202,24,-8,0.0202185513187,"[820346,,array([,4.45381737,,-2.22818156,,,0.49688089]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
138,50.4463843171,34.8940990971,290.0,36.0,169.553615683,34.8940990971,200,36,0,0.00917868673447,"[813330,,array([,4.39893038,,-2.11381758,,,0.45220129]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
136,50.4761468187,34.9190486614,292.41199037,33.9764608625,172.050332826,36.8711630183,200,34,-2,0.014415852589,"[813149,,array([,4.38150271,,-2.19712331,,,0.43379455]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
150,50.4990780459,36.8183652608,297.06308091,27.9814433215,180.140408224,40.4388086055,296,88,-118,0.0137442783498,"[1206751,,array([,4.45715853,,-2.14060268,,,0.48158635]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
62,50.503726104,33.3560580108,284.200149856,41.9685809159,162.871426706,30.0320902049,106,88,132,0.0209380426191,"[437376,,array([,4.34619319,,-2.07447143,,,0.50217013]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
