Strike,Dip,Rake,Misfit,Extra
40,0,-30,0.104794018829,"[2887, array([ 0.79424658,  3.51001401, -0.3217384 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
40,5,-30,0.104814090915,"[2907, array([ 0.85527443,  3.06664128, -0.02222011]), array([ 0.16662171,  0.98602089,  0.        ])]"
40,65,60,0.125243249327,"[3156, array([ 0.69232624,  2.82482598, -0.2973924 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
40,65,70,0.131423642383,"[3157, array([ 0.55697264,  3.20951816, -0.43034739]), array([ 0.16662171,  0.98602089,  0.        ])]"
40,70,60,0.144490973372,"[3176, array([ 0.74240722,  2.58944809,  0.24773988]), array([ 0.16662171,  0.98602089,  0.        ])]"
40,70,70,0.0541515841004,"[3177, array([ 0.6163876 ,  3.01348172,  0.12884478]), array([ 0.16662171,  0.98602089,  0.        ])]"
40,70,80,0.0274251025165,"[3178, array([ 0.47163936,  3.34595224,  0.0060348 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
40,70,90,0.0865803948181,"[3179, array([ 0.31256059,  3.57675769, -0.11695855]), array([ 0.16662171,  0.98602089,  0.        ])]"
40,75,90,0.136335203429,"[3199, array([ 0.37550189,  3.36721921,  0.42302388]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,0,-40,0.101052261567,"[3246, array([ 0.79494039,  3.51308013,  0.30592837]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,0,-30,0.0632886680949,"[3247, array([ 0.80057127,  3.5379647 , -0.11284283]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,5,-30,0.122892821109,"[3267, array([ 0.85267505,  3.12099944,  0.23507183]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,5,-20,0.118793308866,"[3268, array([ 0.83861385,  3.10642495, -0.22463924]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,10,-20,0.148613622943,"[3288, array([ 0.88560433,  2.72297893,  0.06198168]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,60,50,0.135179150761,"[3495, array([ 0.76563803,  2.45277893,  0.00510565]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,60,60,0.106833164482,"[3496, array([ 0.64651779,  2.82266301, -0.26110056]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,65,60,0.133729611249,"[3516, array([ 0.69135719,  2.66120006,  0.28111087]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,65,70,0.0206653510953,"[3517, array([ 0.56100555,  2.99378294,  0.03177565]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,65,80,0.0780584497004,"[3518, array([ 0.41360804,  3.23540125, -0.21852505]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,70,80,0.109305576181,"[3538, array([ 0.46481834,  3.07389889,  0.33684415]), array([ 0.16662171,  0.98602089,  0.        ])]"
45,70,90,0.0756942166852,"[3539, array([ 0.31095343,  3.26870543,  0.07087963]), array([ 0.16662171,  0.98602089,  0.        ])]"
50,0,-30,0.0612504935979,"[3607, array([ 0.80080313,  3.53898934,  0.09691155]), array([ 0.16662171,  0.98602089,  0.        ])]"
50,0,-20,0.104794018829,"[3608, array([ 0.79424658,  3.51001401, -0.3217384 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
50,5,-20,0.0913426380827,"[3628, array([ 0.84193818,  3.18701903,  0.03049117]), array([ 0.16662171,  0.98602089,  0.        ])]"
50,10,-10,0.132147568637,"[3649, array([ 0.85979848,  2.84773086, -0.1205812 ]), array([ 0.16662171,  0.98602089,  0.        ])]"
50,50,50,0.150944123161,"[3815, array([ 0.68799   ,  2.62696507, -0.33368129]), array([ 0.16662171,  0.98602089,  0.        ])]"
