Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Angle1,Angle2,Angle3,Sum
90,5,-90,-0.196866511354,-1.1379475381,-2.13028829672,1.87204438289,0.173001394847,0.092413084021,63.3653933247,64.5966097054,0.0206698586001,0.0250010629105,0.0238105276817,0.0694814491924
90,10,-90,-0.216880524646,-1.48618973364,-1.84674536506,1.24260403854,0.145930576519,0.117439322578,63.3653933247,64.5966097054,0.00187097712679,0.0340459044399,0.0167842680953,0.052701149662
90,15,-90,-0.230304732943,-1.78927480617,-1.50709000997,0.842290968818,0.128714008686,0.152814185894,63.3653933247,64.5966097054,0.0558906300444,0.0405671404056,0.00899024206949,0.105448012519
90,15,-80,-0.110428157116,-1.14100336062,-1.77703203087,1.55742926989,0.0967816230236,0.0621419058283,63.3653933247,64.5966097054,0.0040440420809,0.0542619298904,0.0340018297698,0.0923078017411
90,20,-80,-0.12513326693,-1.38863465038,-1.46160207814,1.05254616666,0.090112447429,0.0856137719026,63.3653933247,64.5966097054,0.0157302901948,0.0573857936593,0.0259378883953,0.0990539722493
95,0,-100,-0.367711001304,-1.62502526551,-2.13638472039,1.31467784885,0.226280174904,0.172118344507,63.3653933247,64.5966097054,0.000252645985417,0.0114255664697,0.00577747056884,0.0174556830239
95,0,-90,-0.238465952008,-1.053852606,-2.29548694215,2.17818595228,0.226280174904,0.103884691143,63.3653933247,64.5966097054,0.0416115584467,0.0114255664697,0.0204331496254,0.0734702745418
95,5,-100,-0.37903850437,-2.02999788763,-1.7935140104,0.883505357974,0.186718669354,0.2113384686,63.3653933247,64.5966097054,0.0452781239704,0.020975725916,0.00145803070326,0.0677118805897
95,5,-90,-0.257457904031,-1.44837859753,-2.01087589858,1.38836344448,0.177755943418,0.128032716595,63.3653933247,64.5966097054,0.000103639114001,0.0235636555182,0.0141891029372,0.0378563975694
95,10,-90,-0.26862712792,-1.7988963383,-1.66516540838,0.925659457371,0.149328853587,0.161321587975,63.3653933247,64.5966097054,0.0359486984401,0.0328296468505,0.00748473384934,0.07626307914
95,10,-80,-0.147385101992,-1.15609721711,-1.88784176338,1.63294378314,0.127485041752,0.0780706862466,63.3653933247,64.5966097054,0.00720836802767,0.0410556693058,0.0284075190435,0.0766715563769
95,15,-80,-0.159569195479,-1.44029930601,-1.55683140166,1.08090824953,0.110788913674,0.102496131122,63.3653933247,64.5966097054,0.012578452194,0.0479978412878,0.0208278289263,0.0814041224081
