Strike,Dip,Rake,Misfit Val
145,25,0,0.24381877946936667
145,30,0,0.2552545987411752
150,0,-30,0.19860824139411656
150,0,-20,0.20764940819268368
150,5,-30,0.24106188464753614
150,5,-20,0.19297398549918532
150,10,-20,0.2076942759783583
150,10,-10,0.23552742513215896
150,15,-20,0.23759288866589887
150,15,-10,0.22790228367894594
150,20,-10,0.23893140130478785
150,25,-10,0.26116505971983633
155,0,-30,0.24535918213154342
155,0,-20,0.1838521330911421
155,0,-10,0.2593251199972167
155,5,-20,0.20215595722056892
155,5,-10,0.23489651314121662
155,10,-20,0.23007842640571355
155,10,-10,0.23016064557249571
155,15,-20,0.2600371542740466
155,15,-10,0.23934551416175553
155,20,-10,0.2567529404383376
160,0,-20,0.19860824139411656
160,0,-10,0.20764940819268368
160,5,-20,0.2291929043126847
160,5,-10,0.21509595608075635
160,10,-20,0.257509174987287
160,10,-10,0.2310397011690856
160,15,-10,0.2509893548340568
165,0,-20,0.24535918213154342
165,0,-10,0.1838521330911421
165,0,0,0.2593251199972167
165,5,-10,0.21117153842711506
165,10,-10,0.23745587009008964
165,15,-10,0.2624445323203003
170,0,-10,0.19860824139411656
170,0,0,0.20764940819268368
170,5,-10,0.22472485286276897
170,5,0,0.24119862673948383
170,10,-10,0.2495342519697317
175,0,-10,0.24535918213154342
175,0,0,0.1838521330911421
175,0,10,0.2593251199972167
175,5,-10,0.2549969409714455
175,5,0,0.22686837933473356
