Strike,Dip,Rake,Misfit
60,25,-100,0.562856755922
60,25,-90,0.638703233452
60,30,-100,0.488196029519
60,30,-90,0.588254804608
60,35,-100,0.463749544389
60,35,-90,0.581380582608
60,40,-100,0.462758511738
60,40,-90,0.590244309441
60,45,-100,0.471935125459
60,45,-90,0.6051576143
60,50,-100,0.485374075407
60,50,-90,0.62289205887
60,55,-100,0.500649635487
60,55,-90,0.642596957093
60,60,-100,0.51695584603
60,65,-100,0.534345559798
60,70,-100,0.553527762069
60,75,-100,0.576064650889
60,80,-100,0.605154382845
60,85,-100,0.647868074231
65,25,-100,0.546864751089
65,25,-90,0.590037101094
65,30,-100,0.459154972684
65,30,-90,0.524887699385
65,35,-100,0.423096248873
65,35,-90,0.512703750842
65,40,-100,0.416683469871
65,40,-90,0.523424711771
65,45,-100,0.425899283871
65,45,-90,0.544000161298
65,50,-100,0.443189268057
65,50,-90,0.569407711534
65,55,-100,0.465016224835
65,55,-90,0.598080640776
65,60,-100,0.490110562299
65,60,-90,0.63006236016
65,65,-100,0.518593880987
65,70,-100,0.551752611809
65,75,-100,0.592387824051
65,80,-100,0.646034772109
70,25,-100,0.540525741184
70,25,-90,0.566657514857
70,25,-80,0.637287345159
70,30,-100,0.443226990653
70,30,-90,0.484248501221
70,30,-80,0.574093135281
70,35,-100,0.394974961983
70,35,-90,0.460117447994
70,35,-80,0.568134731347
70,40,-100,0.380487830062
70,40,-90,0.467141508111
70,40,-80,0.585940137725
70,45,-100,0.387284250403
70,45,-90,0.48982878761
70,45,-80,0.614215860635
70,50,-100,0.406914224902
70,50,-90,0.520873459648
70,50,-80,0.648256234036
70,55,-100,0.434701887369
70,55,-90,0.557463226063
70,60,-100,0.468740349149
70,60,-90,0.599155406489
70,65,-100,0.509105000191
70,65,-90,0.646985757379
70,70,-100,0.557632768738
70,75,-100,0.618402583272
75,25,-100,0.538050123186
75,25,-90,0.558218821335
75,25,-80,0.605684636008
75,30,-100,0.434911907756
75,30,-90,0.461416952617
75,30,-80,0.521846694822
75,30,-70,0.633341044122
75,35,-100,0.375936805157
75,35,-90,0.422502678446
75,35,-80,0.503506854307
75,35,-70,0.625651459168
75,40,-100,0.352447355804
75,40,-90,0.421544842454
75,40,-80,0.518572268722
75,40,-70,0.645023460821
75,45,-100,0.355361712684
75,45,-90,0.443118172199
75,45,-80,0.550024533105
75,50,-100,0.376509572536
75,50,-90,0.477914785113
75,50,-80,0.590427553984
75,55,-100,0.410277998843
75,55,-90,0.521528786984
75,55,-80,0.637175576002
75,60,-100,0.453990705676
75,60,-90,0.572699490335
75,65,-100,0.507553184212
75,65,-90,0.63223643099
75,70,-100,0.573298723011
80,25,-100,0.535662751377
80,25,-90,0.556857955794
80,25,-80,0.595481472848
80,30,-100,0.429653912353
80,30,-90,0.45036779862
80,30,-80,0.492992679488
80,30,-70,0.570268025936
80,35,-100,0.362264787314
80,35,-90,0.397164082822
80,35,-80,0.45694671581
80,35,-70,0.548589212658
80,40,-100,0.330296402282
80,40,-90,0.385819999038
80,40,-80,0.463117066775
80,40,-70,0.564853985312
80,45,-100,0.329087573189
80,45,-90,0.403838691793
80,45,-80,0.493448832684
80,45,-70,0.599608196804
80,50,-100,0.351949809815
80,50,-90,0.440954210833
80,50,-80,0.537681362993
80,50,-70,0.644416491024
80,55,-100,0.392618337019
80,55,-90,0.491070256133
80,55,-80,0.591228969621
80,60,-100,0.44749662175
80,60,-90,0.551813321825
80,65,-100,0.516176202854
80,65,-90,0.623537564153
80,70,-100,0.601398039964
85,25,-100,0.530818833877
85,25,-90,0.557357020765
85,25,-80,0.596144131201
85,30,-100,0.423921271376
85,30,-90,0.445485166563
85,30,-80,0.480872952054
85,30,-70,0.538125540554
85,30,-60,0.633071742162
85,35,-100,0.350448805095
85,35,-90,0.380430766048
85,35,-80,0.426642058054
85,35,-70,0.494617223666
85,35,-60,0.594822463043
85,40,-100,0.311552371839
85,40,-90,0.35828282532
85,40,-80,0.419806279806
85,40,-70,0.499122190448
85,40,-60,0.603018173752
85,45,-100,0.307368778926
85,45,-90,0.371496425861
85,45,-80,0.445216356285
85,45,-70,0.53102745239
85,45,-60,0.634194884364
85,50,-100,0.333544334295
85,50,-90,0.410292739395
85,50,-80,0.490888241054
85,50,-70,0.578443477441
85,55,-100,0.383227428468
85,55,-90,0.467006997971
85,55,-80,0.549980020255
85,55,-70,0.63583934311
85,60,-100,0.451637903839
85,60,-90,0.537896502679
85,60,-80,0.619768506957
85,65,-100,0.537912052513
85,65,-90,0.622638971616
85,70,-100,0.645073411794
90,25,-100,0.521597225812
90,25,-90,0.556346637398
90,25,-80,0.600595185112
