Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Angle1,Angle2,Angle3,Sum
65,5,-100,0.819801765458,1.55997038111,-1.75744618754,-1.12658945889,0.52552393006,-0.466473324344,57.101920704,59.6389581368,0.00422261214277,0.00573485791259,0.0164098693069,0.0263673393623
65,5,-90,0.89621616605,1.72931249669,-1.26326604771,-0.730501890272,0.518249979551,-0.709443721437,57.101920704,59.6389581368,0.0221915444219,0.00663340391147,0.00275273986409,0.0315776881975
65,10,-90,0.911933393674,0.841865103599,-1.48724590376,-1.76660832882,1.08322983074,-0.613169208514,57.101920704,59.6389581368,0.0760854965989,0.0706192083283,0.000210914141904,0.146915619069
65,10,-80,0.967240239876,0.945961154511,-0.902018590584,-0.953547179271,1.02249467144,-1.07230632492,57.101920704,59.6389581368,0.000333041274035,0.056137465939,0.0653857308817,0.121856238095
70,0,-100,0.740788283183,2.22619526204,-1.65272248573,-0.742397809354,0.332759796867,-0.448223031742,57.101920704,59.6389581368,0.0199530968614,0.0568117707975,0.0205045726272,0.0972694402861
70,0,-90,0.821934732636,2.47005419638,-1.22807480971,-0.497185370068,0.332759796867,-0.669287185223,57.101920704,59.6389581368,0.101429501993,0.0568117707975,0.000637321207305,0.158878593998
70,5,-100,0.767871180593,1.46144892372,-2.00142337033,-1.36947883559,0.525417733134,-0.383662543355,57.101920704,59.6389581368,0.0256677667301,0.00574746893948,0.0392934983825,0.0707087340521
70,5,-90,0.857634958687,1.66336320929,-1.53748022261,-0.924320205006,0.51560293861,-0.557818530654,57.101920704,59.6389581368,0.00114129139114,0.00697802598024,0.00310731506383,0.0112266324352
70,5,-80,0.921339932546,1.81473704545,-1.02682151633,-0.565823858009,0.507698861857,-0.897273691574,57.101920704,59.6389581368,0.0702051451143,0.00806381900229,0.0278013661735,0.10607033029
70,10,-90,0.867276380503,0.806131772798,-1.80017007695,-2.23309654537,1.07584939556,-0.481774689851,57.101920704,59.6389581368,0.136820717598,0.0688193384656,0.0133652210417,0.219005277106
70,10,-80,0.938325846556,0.939495312662,-1.24523314067,-1.32542773113,0.998755218796,-0.753534270742,57.101920704,59.6389581368,0.0208990422207,0.0507100422192,0.00659178586554,0.0782008703055
75,0,-100,0.691592538299,2.07835364972,-1.84696601886,-0.888667825663,0.332759796867,-0.374447895217,57.101920704,59.6389581368,0.00284670492163,0.0568117707975,0.0425526135047,0.102211089224
75,0,-90,0.784346181933,2.35709418421,-1.44590073656,-0.613425100381,0.332759796867,-0.542461983802,57.101920704,59.6389581368,0.0527349418287,0.0568117707975,0.00456056321285,0.114107275839
75,0,-80,0.853267863727,2.56421560465,-1.00090249204,-0.390334763668,0.332759796867,-0.852498490628,57.101920704,59.6389581368,0.166241101505,0.0568117707975,0.0199864342523,0.243039306555
75,5,-100,0.709504453067,1.34934558004,-2.22177037742,-1.64655401129,0.525813745244,-0.319341935727,57.101920704,59.6389581368,0.060089657619,0.00570051804132,0.0652616003136,0.131051775974
75,5,-90,0.811732539647,1.58292581821,-1.7925219824,-1.13241060432,0.512805167689,-0.452843841034,57.101920704,59.6389581368,0.0045615857291,0.00735259865609,0.0194192712931,0.0313334556783
75,5,-80,0.889296543767,1.7684096564,-1.308808714,-0.740104935111,0.502879262477,-0.679470219181,57.101920704,59.6389581368,0.020373344969,0.00876809690441,0.0010397340346,0.030181175908
75,5,-70,0.93983972241,1.90016126203,-0.785327955113,-0.413295424343,0.494610505534,-1.19674807995,57.101920704,59.6389581368,0.150511572842,0.0100520187825,0.0961953602439,0.256758951868
75,10,-80,0.900351680993,0.923643335215,-1.56655160115,-1.69605684514,0.974782848169,-0.574734774347,57.101920704,59.6389581368,0.0666587134096,0.0453872318165,0.0018433679255,0.113889313152
75,10,-70,0.958891816858,1.05856118285,-1.00082596975,-0.945458784973,0.905844491934,-0.95810045486,57.101920704,59.6389581368,0.000506384818541,0.0311339860799,0.0397739114718,0.0714142823702
80,0,-100,0.637133356603,1.91469451118,-2.02715302535,-1.05873444223,0.332759796867,-0.314299585989,57.101920704,59.6389581368,0.00115916152839,0.0568117707975,0.0676238627335,0.125594795059
80,0,-90,0.740788283183,2.22619526204,-1.65272248573,-0.742397809354,0.332759796867,-0.448223031742,57.101920704,59.6389581368,0.0199530968614,0.0568117707975,0.0205045726272,0.0972694402861
80,0,-80,0.821934732636,2.47005419638,-1.22807480971,-0.497185370068,0.332759796867,-0.669287185223,57.101920704,59.6389581368,0.101429501993,0.0568117707975,0.000637321207305,0.158878593998
80,5,-100,0.645368510814,1.2237412853,-2.41614329441,-1.97439060318,0.527373325202,-0.267106885716,57.101920704,59.6389581368,0.103748742774,0.00551763404674,0.0921462779773,0.201412654798
80,5,-90,0.759060598313,1.48791091661,-2.02552739114,-1.36132302581,0.510151911543,-0.374747140737,57.101920704,59.6389581368,0.0247635043882,0.00771768685124,0.0424444162003,0.0749256074397
80,5,-80,0.849689013635,1.70687112764,-1.57336686305,-0.921784215326,0.497805018713,-0.540045067421,57.101920704,59.6389581368,0.00123568496293,0.00954458641068,0.00481653185671,0.0155968032303
80,5,-70,0.914500058241,1.87396892317,-1.073400379,-0.572795186581,0.488001720271,-0.851965469862,57.101920704,59.6389581368,0.0674428602743,0.0111478726273,0.0198992272888,0.0984899601904
80,10,-80,0.853952510262,0.897327016385,-1.86125631148,-2.07422297278,0.951662542941,-0.458804359719,57.101920704,59.6389581368,0.11675269811,0.0404208695632,0.0180681794649,0.175241747138
80,10,-70,0.927688864355,1.06297205455,-1.32917162005,-1.25042950505,0.872731188351,-0.697945133915,57.101920704,59.6389581368,0.0135372302238,0.0249504395586,0.00200490219439,0.0404925719768
