Exit Angle,Plunge,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Ratio1,Ratio2,Ratio3,Sum
10,80,90,110,20,0,-0.308640564,4.861387282,1.518976958,0.312457509,-0.063488166,-0.20318976,0.261860709,1.266285367,2.285698326,3.813844402
10,80,100,110,20,0,-0.320038422,4.986071703,0.587870504,0.117902537,-0.064186486,-0.544402926,0.603618897,1.269874463,11.50355106,13.37704442
10,80,110,110,20,0,-0.321393805,4.949140239,-0.332874128,-0.067258981,-0.064939321,0.965511518,1.281610396,1.27375545,0.000376031,2.555741877
10,80,120,110,20,0,-0.312983799,4.761831653,-1.213469228,-0.25483245,-0.065727607,0.257924793,2.794997341,1.277832263,0.350185672,4.423015276
10,80,130,110,20,0,-0.295382209,4.439953842,-2.02896971,-0.456979911,-0.066528216,0.145582365,7.134077563,1.281986539,0.559027834,8.975091936
10,80,140,110,20,0,-0.269403733,4.002183305,-2.759812584,-0.689576757,-0.067314191,0.097616677,29.49229548,1.286078393,0.678933908,31.45730778
10,80,150,110,20,0,-0.236045449,3.468424633,-3.391782289,-0.977902837,-0.068055522,0.069593337,8009.752507,1.289950138,0.759885729,8011.802343
10,80,160,110,20,0,-0.196431467,2.858409279,-3.915478826,-1.369810424,-0.068720553,0.05016793,41.22040574,1.293433601,0.821383366,43.33522271
10,80,170,110,20,0,-0.151765436,2.190672251,-4.3254211,-1.974472036,-0.06927802,0.035086858,9.391338044,1.2963611,0.872448854,11.560148
10,80,180,110,20,0,-0.103293978,1.481988934,-4.618955302,-3.116727255,-0.069699561,0.022363061,3.829811534,1.298579322,0.917949712,6.046340568
10,80,190,110,20,0,-0.052282137,0.747289159,-4.795153275,-6.416730686,-0.069962392,0.010903121,1.908160946,1.299964364,0.960936446,4.169061755
10,80,200,110,20,0,-1.84E-17,2.63E-16,-4.853876912,-1.85E+16,-0.070051714,3.79E-18,1.02441844,1.30043541,1.003692821,3.328546671
10,80,210,110,20,0,0.052282137,-0.747289159,-4.795153275,6.416730686,-0.069962392,-0.010903121,0.551269111,1.299964364,1.048353452,2.899586927
10,80,220,110,20,0,0.103293978,-1.481988934,-4.618955302,3.116727255,-0.069699561,-0.022363061,0.277005137,1.298579322,1.097453027,2.673037486
10,80,230,110,20,0,0.151765436,-2.190672251,-4.3254211,1.974472036,-0.06927802,-0.035086858,0.115428262,1.2963611,1.154700968,2.566490329
10,80,240,110,20,0,0.196431467,-2.858409279,-3.915478826,1.369810424,-0.068720553,-0.05016793,0.028286605,1.293433601,1.226512119,2.548232325
10,80,250,110,20,0,0.236045449,-3.468424633,-3.391782289,0.977902837,-0.068055522,-0.069593337,9.28E-07,1.289950138,1.325819567,2.615770634
10,80,260,110,20,0,0.269403733,-4.002183305,-2.759812584,0.689576757,-0.067314191,-0.097616677,0.029444096,1.286078393,1.484005697,2.799528187
10,80,270,110,20,0,0.295382209,-4.439953842,-2.02896971,0.456979911,-0.066528216,-0.145582365,0.130008518,1.281986539,1.802629446,3.214624503
10,80,280,110,20,0,0.312983799,-4.761831653,-1.213469228,0.25483245,-0.065727607,-0.257924793,0.338378032,1.277832263,2.879772772,4.495983066
10,80,290,110,20,0,0.321393805,-4.949140239,-0.332874128,0.067258981,-0.064939321,-0.965511518,0.742740291,1.27375545,3248.113135,3250.129631
10,80,300,110,20,0,0.320038422,-4.986071703,0.587870504,-0.117902537,-0.064186486,0.544402926,1.575495831,1.269874463,0.088116094,2.933486388
10,80,310,110,20,0,0.308640564,-4.861387282,1.518976958,-0.312457509,-0.063488166,0.20318976,3.59775744,1.266285367,0.441019377,5.305062184
10,80,320,110,20,0,0.287266666,-4.569979043,2.426938456,-0.531061178,-0.062859515,0.118365864,10.58079293,1.263063252,0.624365862,12.46822204
10,80,330,110,20,0,0.256358427,-4.114098123,3.276176317,-0.796329164,-0.062312181,0.078249277,77.57435744,1.260264779,0.733940649,79.56856287
10,80,340,110,20,0,0.216744445,-3.504082769,4.031084798,-1.15039657,-0.06185483,0.053768267,204.7850074,1.257931262,0.809631402,206.85257
10,80,350,110,20,0,0.169628369,-2.758467989,4.658295228,-1.688725498,-0.061493688,0.036414259,15.33544871,1.256091757,0.867831999,17.45937247
10,80,360,110,20,0,0.116552333,-1.903422374,5.128948054,-2.694592711,-0.061233037,0.022724413,4.806443166,1.254765829,0.916625738,6.977834732
15,75,0,110,20,0,0.175423813,-1.868053206,5.16056924,-2.762538682,-0.093907289,0.033993113,4.609018392,1.432782124,0.87627117,6.918071686
15,75,10,110,20,0,0.089423981,-0.955944299,5.476237814,-5.728616008,-0.093545179,0.016329455,2.059489971,1.430671982,0.940338516,4.430500469
15,75,20,110,20,0,-3.16E-17,3.38E-16,5.583446425,1.65E+16,-0.093424518,-5.66E-18,1.02441844,1.429969565,1.003692821,3.458080827
15,75,30,110,20,0,-0.089423981,0.955944299,5.476237814,5.728616008,-0.093545179,-0.016329455,0.511078633,1.430671982,1.071319756,3.013070371
15,75,40,110,20,0,-0.175423813,1.868053206,5.16056924,2.762538682,-0.093907289,-0.033993113,0.23095674,1.432782124,1.149662854,2.813401718
15,75,50,110,20,0,-0.254764668,2.695607078,4.653805848,1.726440729,-0.094511055,-0.054743295,0.077605962,1.436307694,1.249190858,2.763104515
15,75,60,110,20,0,-0.324574322,3.403807943,3.983255406,1.170235064,-0.095356239,-0.081484688,0.008204089,1.441258182,1.390681658,2.840143929
15,75,70,110,20,0,-0.382486091,3.966001134,3.183902051,0.802799077,-0.096441246,-0.120131237,0.009457637,1.447639487,1.625397981,3.082495105
15,75,80,110,20,0,-0.426740353,4.365104696,2.295581156,0.525893722,-0.097761768,-0.185896435,0.089145054,1.455445739,2.127323186,3.671913978
15,75,90,110,20,0,-0.456238021,4.594128411,1.359893704,0.296006899,-0.09930894,-0.335495355,0.282031179,1.464647781,4.046556533,5.793235492
15,75,100,110,20,0,-0.470544315,4.655766675,0.417180103,0.089605028,-0.101066988,-1.127916482,0.677974258,1.475177886,276.6685669,278.821719
15,75,110,110,20,0,-0.46984631,4.561152316,-0.496142057,-0.108775595,-0.103010441,0.946999562,1.51774548,1.486910707,0.00084485,3.005501037
15,75,120,110,20,0,-0.454872264,4.327949653,-1.349622162,-0.311838693,-0.105101099,0.337036747,3.58784118,1.49964136,0.247695245,5.335177785
15,75,130,110,20,0,-0.4267842,3.978033937,-2.120027435,-0.532933471,-0.107285209,0.201310697,10.69230907,1.513063135,0.444479489,12.64985169
15,75,140,110,20,0,-0.387057328,3.535042857,-2.791723213,-0.789728251,-0.109491552,0.138644593,72.23921639,1.526749547,0.575047767,74.3410137
15,75,150,110,20,0,-0.33736022,3.022089638,-3.356210379,-1.110559507,-0.11163144,0.100518198,364.884161,1.540147965,0.671040152,367.0953491
15,75,160,110,20,0,-0.279448451,2.459896447,-3.810947078,-1.549230693,-0.113601713,0.073327823,21.65592474,1.552593691,0.748585425,23.95710386
15,75,170,110,20,0,-0.215081643,1.865545239,-4.157663792,-2.228658788,-0.115291572,0.05173137,6.969213582,1.563352409,0.816259807,9.348825798
15,75,180,110,20,0,-0.145969992,1.251958732,-4.40043551,-3.514840702,-0.116593294,0.033171715,3.26674748,1.571693521,0.879152542,5.717593544
15,75,190,110,20,0,-0.07375193,0.628127277,-4.543795755,-7.233877469,-0.117415583,0.016231348,1.776790873,1.576986702,0.940707,4.294484575
15,75,200,110,20,0,-2.60E-17,2.21E-16,-4.591162312,-2.08E+16,-0.117696926,5.66E-18,1.02441844,1.578802059,1.003692821,3.60691332
15,75,210,110,20,0,0.07375193,-0.628127277,-4.543795755,7.233877469,-0.117415583,-0.016231348,0.591725035,1.576986702,1.070900059,3.239611797
15,75,220,110,20,0,0.145969992,-1.251958732,-4.40043551,3.514840702,-0.116593294,-0.033171715,0.323934079,1.571693521,1.145893969,3.041521569
15,75,230,110,20,0,0.215081643,-1.865545239,-4.157663792,2.228658788,-0.115291572,-0.05173137,0.154200189,1.563352409,1.234213685,2.951766284
15,75,240,110,20,0,0.279448451,-2.459896447,-3.810947078,1.549230693,-0.113601713,-0.073327823,0.051795009,1.552593691,1.345844204,2.950232904
15,75,250,110,20,0,0.33736022,-3.022089638,-3.356210379,1.110559507,-0.11163144,-0.100518198,0.004162774,1.540147965,1.501475686,3.045786426
15,75,260,110,20,0,0.387057328,-3.535042857,-2.791723213,0.789728251,-0.109491552,-0.138644593,0.01109915,1.526749547,1.752358085,3.290206782
15,75,270,110,20,0,0.4267842,-3.978033937,-2.120027435,0.532933471,-0.107285209,-0.201310697,0.085586952,1.513063135,2.267877447,3.866527534
