Strike,Dip,Rake,Misfit
20,20,-60,0.0987095004746
20,20,-50,0.171502516485
20,25,-100,0.104780874497
20,25,-90,0.0695478091243
20,25,-80,0.0681762311148
20,25,-70,0.109628473261
20,25,-60,0.176520440132
20,30,-100,0.173427545203
20,30,-90,0.186435947214
20,30,-80,0.218414224426
25,15,-80,0.223653772052
25,15,-70,0.210512025556
25,15,-60,0.20872470348
25,15,-50,0.22324407079
25,20,-100,0.170770681546
25,20,-90,0.132157430846
25,20,-80,0.102014634027
25,20,-70,0.0892748871504
25,20,-60,0.106755651413
25,20,-50,0.155296853793
25,20,-40,0.233564039823
25,25,-100,0.126405693769
25,25,-90,0.0817346831381
25,25,-80,0.0439346616333
25,25,-70,0.0478979104124
25,25,-60,0.0997187600499
25,25,-50,0.174060635167
25,30,-100,0.184103001363
25,30,-90,0.169847687808
25,30,-80,0.169581654131
25,30,-70,0.18724341015
25,30,-60,0.22696241102
30,15,-80,0.237309655934
30,15,-70,0.230847038588
30,15,-60,0.234616401128
30,20,-100,0.181167244757
30,20,-90,0.146255638986
30,20,-80,0.122696904389
30,20,-70,0.115970196625
30,20,-60,0.131831445743
30,20,-50,0.171400094215
30,20,-40,0.235588648586
30,25,-100,0.151087319966
30,25,-90,0.101812388364
30,25,-80,0.0524621812713
30,25,-70,0.00242751665186
30,25,-60,0.0590249200618
30,25,-50,0.130004482533
30,25,-40,0.222227129221
30,30,-100,0.206371213587
30,30,-90,0.171086319409
30,30,-80,0.142958593589
30,30,-70,0.128444917221
30,30,-60,0.139529370598
30,30,-50,0.186182949306
35,20,-100,0.193448335013
35,20,-90,0.157562806492
35,20,-80,0.136806767935
35,20,-70,0.135086631538
35,20,-60,0.154606984321
35,20,-50,0.194382633959
35,25,-100,0.180810450851
35,25,-90,0.125507263939
35,25,-80,0.0731286273758
35,25,-70,0.031178764779
35,25,-60,0.0598616218472
35,25,-50,0.127684519146
35,25,-40,0.215912295043
35,30,-100,0.238136092169
35,30,-90,0.186096762118
35,30,-80,0.13654628897
35,30,-70,0.0924000368507
35,30,-60,0.0757346981284
35,30,-50,0.120544489894
35,30,-40,0.213919868709
35,35,-70,0.212415662344
35,35,-60,0.191245831579
35,35,-50,0.201927733736
40,20,-100,0.211710811631
40,20,-90,0.169425322317
40,20,-80,0.146873738742
40,20,-70,0.147361986235
40,20,-60,0.170701410268
40,20,-50,0.213433716936
40,25,-100,0.217731869385
40,25,-90,0.153341231983
40,25,-80,0.0959317819787
40,25,-70,0.055932222772
40,25,-60,0.0760356782379
40,25,-50,0.141003696164
40,25,-40,0.228029933147
40,30,-90,0.211692792175
40,30,-80,0.146223115219
40,30,-70,0.0799564825171
40,30,-60,0.0299938352592
40,30,-50,0.0941038186787
40,30,-40,0.199772016277
40,35,-80,0.24061275174
40,35,-70,0.180906654427
40,35,-60,0.12972870292
40,35,-50,0.124929454999
40,35,-40,0.20723206869
40,40,-50,0.218437142158
45,20,-100,0.23991602441
45,20,-90,0.185587192115
45,20,-80,0.15587784765
45,20,-70,0.15462030081
45,20,-60,0.180147625326
45,20,-50,0.226007869936
45,25,-90,0.18698370508
45,25,-80,0.121053062667
45,25,-70,0.0760317628578
45,25,-60,0.0896428945324
45,25,-50,0.153433069593
45,25,-40,0.240686833242
45,30,-80,0.16755821501
45,30,-70,0.0879960608201
45,30,-60,0.00451930436311
45,30,-50,0.091486061546
45,30,-40,0.203193959369
45,35,-70,0.169960068386
45,35,-60,0.0912701517154
45,35,-50,0.077689954441
45,35,-40,0.185822859971
45,40,-60,0.188400747537
45,40,-50,0.138639013921
45,40,-40,0.201971488777
45,45,-50,0.234033063975
50,20,-90,0.209741295562
50,20,-80,0.167287088925
50,20,-70,0.159208037023
50,20,-60,0.184145259382
50,20,-50,0.232260473481
50,25,-90,0.228013614147
50,25,-80,0.150510768839
50,25,-70,0.0953897073375
50,25,-60,0.0986138239077
50,25,-50,0.160342821962
50,30,-80,0.197780890834
50,30,-70,0.108776085555
50,30,-60,0.030335632365
50,30,-50,0.0946299883764
50,30,-40,0.207318576094
50,35,-70,0.176076593505
50,35,-60,0.0760531027637
50,35,-50,0.0514063394229
50,35,-40,0.179620996771
50,40,-60,0.156674434761
50,40,-50,0.0840123186655
50,40,-40,0.173750237337
50,45,-50,0.156477163015
50,45,-40,0.198567590128
55,20,-80,0.18479836069
55,20,-70,0.164039178565
55,20,-60,0.184348606334
55,20,-50,0.233136134407
55,25,-80,0.186202311738
55,25,-70,0.117599994999
55,25,-60,0.105066539289
55,25,-50,0.16159899847
55,30,-80,0.235745545928
55,30,-70,0.137412438944
55,30,-60,0.0547282873638
55,30,-50,0.0957720310178
55,30,-40,0.206726371266
55,35,-70,0.195409940654
55,35,-60,0.0830601672377
55,35,-50,0.0383947316778
55,35,-40,0.17434143053
55,40,-60,0.146754741196
55,40,-50,0.0448738430374
55,40,-40,0.157668361339
55,45,-60,0.217834415645
55,45,-50,0.104686167575
55,45,-40,0.163945615199
55,50,-50,0.174003021753
55,50,-40,0.197848492297
60,20,-80,0.211732348254
60,20,-70,0.172620772111
60,20,-60,0.182841842101
60,20,-50,0.229837429459
60,25,-80,0.229538725942
60,25,-70,0.145486389471
60,25,-60,0.112524796481
60,25,-50,0.158546745729
60,30,-70,0.172535497381
60,30,-60,0.0808501769386
60,30,-50,0.0943750088236
60,30,-40,0.200668364434
