Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
49,15.4443619066,25.9375412886,155.218455504,57.5011681305,276.252514367,18.1814842481,54,58,174,0.0208650491373,"[35, 'Combined', 224097, array([-4.87238881,  0.69421014, -0.37912679]), array([-0.98682913,  0.15078749, -0.05857818])]"
72,141.035455844,59.0842995742,12.1324016504,20.6106142963,273.402687779,21.9770159241,200,70,112,0.0210242708493,"[35, 'Combined', 816446, array([-4.93362731,  0.65612995, -0.25139326]), array([-0.98682913,  0.15078749, -0.05857818])]"
1,99.8710026823,68.8882728619,5.65516348077,1.62584348794,275.029479778,21.043003136,2,24,86,0.0211892513342,"[35, 'Combined', 10393, array([-4.89626496,  0.85469559, -0.28578337]), array([-0.98682913,  0.15078749, -0.05857818])]"
0,101.766745658,68.7495289369,5.48458377566,2.43669639763,274.543891449,21.096725385,0,24,84,0.0213089244479,"[35, 'Combined', 2292, array([-4.90115587,  0.84593922, -0.24637428]), array([-0.98682913,  0.15078749, -0.05857818])]"
29,33.6435447845,50.7938777314,174.22904064,32.2204643929,277.379192018,19.8487622681,48,38,150,0.0215544055195,"[35, 'Combined', 197985, array([-4.88461328,  0.68802296, -0.37927241]), array([-0.98682913,  0.15078749, -0.05857818])]"
89,168.668096943,32.1472175798,28.0181553673,50.8993361352,271.737797373,19.7904015085,314,52,10,0.021580232772,"[35, 'Combined', 1276475, array([-4.91215682,  0.70455995, -0.19398109]), array([-0.98682913,  0.15078749, -0.05857818])]"
112,155.551193644,49.6042825124,15.9905327453,32.9288271251,271.85521017,20.660431823,320,38,28,0.0216989045867,"[35, 'Combined', 1299524, array([-4.91502186,  0.75583537, -0.18374861]), array([-0.98682913,  0.15078749, -0.05857818])]"
108,4.66646103734,1.16379593615,98.1756702855,71.6393254697,274.281040718,18.3211080151,318,78,-14,0.0218448356482,"[35, 'Combined', 1295003, array([-4.88754145,  0.67873121, -0.37424958]), array([-0.98682913,  0.15078749, -0.05857818])]"
50,14.199724226,23.3452250141,151.961384716,59.7591344973,276.085304468,18.1096460043,54,60,176,0.0219429990514,"[35, 'Combined', 224278, array([-4.87267427,  0.69171669, -0.38382864]), array([-0.98682913,  0.15078749, -0.05857818])]"
41,20.5083967864,37.144366066,166.04148913,47.4230370345,276.457258916,17.7710121759,52,50,164,0.0220414603587,"[35, 'Combined', 215272, array([-4.85001908,  0.84834245, -0.26498151]), array([-0.98682913,  0.15078749, -0.05857818])]"
23,40.4572918327,56.0634412684,177.301469268,26.145362405,277.619645079,20.0463340232,44,34,142,0.0220900478031,"[35, 'Combined', 181421, array([-4.87956083,  0.72502843, -0.39706229]), array([-0.98682913,  0.15078749, -0.05857818])]"
26,35.3762627045,52.4019232689,173.681815806,29.8988383833,276.162321705,20.5982269748,46,36,148,0.0224319309723,"[35, 'Combined', 189704, array([-4.91108477,  0.64177485, -0.26147824]), array([-0.98682913,  0.15078749, -0.05857818])]"
106,181.269358571,5.75685181523,73.0159368985,72.158320261,273.016701397,16.8282061539,316,74,-8,0.0224324670898,"[35, 'Combined', 1286546, array([-4.85206577,  0.84474298, -0.24646369]), array([-0.98682913,  0.15078749, -0.05857818])]"
93,172.555638093,25.9375412886,32.7815444962,57.5011681305,271.747485633,18.1814842481,314,58,6,0.0224575182875,"[35, 'Combined', 1277013, array([-4.87548239,  0.8356459 , -0.22429686]), array([-0.98682913,  0.15078749, -0.05857818])]"
54,14.5608790577,25.0318503698,152.369766672,57.7773337416,275.342943603,18.9335563984,146,86,32,0.0224718929105,"[35, 'Combined', 599146, array([-4.89840939,  0.63772794, -0.27047857]), array([-0.98682913,  0.15078749, -0.05857818])]"
6,82.5937831489,68.3121629103,182.849246924,4.05012010135,274.428581143,21.2684005789,12,24,100,0.022487523478,"[35, 'Combined', 50900, array([-4.91167365,  0.78688309, -0.18570326]), array([-0.98682913,  0.15078749, -0.05857818])]"
48,16.8162073651,28.4893163454,158.107834108,55.1819560706,276.482655768,18.2897923861,54,56,172,0.0225461015929,"[35, 'Combined', 223916, array([-4.87217654,  0.69130198, -0.38699903]), array([-0.98682913,  0.15078749, -0.05857818])]"
70,129.22727993,64.2938142095,10.6640593066,12.9620762821,275.383665023,21.7931280638,196,68,104,0.0225983884603,"[35, 'Combined', 800062, array([-4.90945454,  0.74551459, -0.40406255]), array([-0.98682913,  0.15078749, -0.05857818])]"
43,8.29933424259,12.6593049537,131.426439951,67.6570907469,274.090017009,18.0966263599,52,68,-176,0.022670927976,"[35, 'Combined', 216722, array([-4.88744432,  0.70606432, -0.18504407]), array([-0.98682913,  0.15078749, -0.05857818])]"
