,Strike,Dip,Rake,Misfit,Extra
230,154,68,46,0.0209834368093,"[535, 'iasp91', 349973, array([-0.06895127, -2.93821293, -3.54087624]), array([ 0.        , -0.64981277, -0.76009431])]"
120,112,16,-20,0.0209892201547,"[535, 'iasp91', 252840, array([ 0.01595953, -0.50376692, -0.58493635]), array([ 0.        , -0.64981277, -0.76009431])]"
22,42,56,-92,0.0209894196525,"[535, 'iasp91', 97304, array([-0.0137784 , -0.95366886, -1.07424874]), array([ 0.        , -0.64981277, -0.76009431])]"
238,156,16,26,0.0210135447258,"[535, 'iasp91', 351863, array([ 0.00565386, -0.31702224, -0.35804018]), array([ 0.        , -0.64981277, -0.76009431])]"
122,114,16,-18,0.0210907725474,"[535, 'iasp91', 257341, array([ 0.01627423, -0.50481275, -0.59412756]), array([ 0.        , -0.64981277, -0.76009431])]"
45,48,46,-84,0.0211312886102,"[535, 'iasp91', 110308, array([ 0.0030766 , -0.64642002, -0.72490053]), array([ 0.        , -0.64981277, -0.76009431])]"
215,150,76,40,0.0211910537934,"[535, 'iasp91', 341370, array([ 0.06872173, -3.41500856, -3.86382812]), array([ 0.        , -0.64981277, -0.76009431])]"
229,154,68,44,0.0212909465121,"[535, 'iasp91', 349972, array([-0.03431792, -2.92482423, -3.56269054]), array([ 0.        , -0.64981277, -0.76009431])]"
132,126,16,-6,0.0212939111528,"[535, 'iasp91', 284347, array([ 0.01699151, -0.52059831, -0.60712815]), array([ 0.        , -0.64981277, -0.76009431])]"
297,166,54,42,0.0213089211948,"[535, 'iasp91', 376271, array([ 0.06325387, -2.04375557, -2.42742009]), array([ 0.        , -0.64981277, -0.76009431])]"
162,140,86,38,0.0213223697096,"[535, 'iasp91', 319369, array([ 0.04226993, -3.7013033 , -4.5094912 ]), array([ 0.        , -0.64981277, -0.76009431])]"
376,178,58,62,0.0213765187796,"[535, 'iasp91', 403481, array([-0.05650292, -1.74096139, -2.02398722]), array([ 0.        , -0.64981277, -0.76009431])]"
248,156,68,48,0.0215224510397,"[535, 'iasp91', 354474, array([-0.06519661, -2.9850935 , -3.38102177]), array([ 0.        , -0.64981277, -0.76009431])]"
73,54,38,-78,0.0215598600105,"[535, 'iasp91', 123411, array([ 0.00940148, -0.54164046, -0.65785379]), array([ 0.        , -0.64981277, -0.76009431])]"
