Exit Angle,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
40,180,112,90,90,-0.913097848445,0.902389883293,1.60837572946,1.78235124223,-1.01186622917,-0.567714267083
40,200,112,90,90,-0.984207834738,0.972665957583,0.149841205289,0.154052071136,-1.01186622917,-6.56833901488
40,220,112,90,90,-0.9366078308,0.925624162368,-1.32676637966,-1.43337483355,-1.01186622917,0.705932743818
40,240,112,90,90,-0.776039099609,0.766938432414,-2.64334635824,-3.44662132776,-1.01186622917,0.293582071525
40,260,112,90,90,-0.521868599887,0.515748608705,-3.64109975438,-7.05983437071,-1.01186622917,0.143327190984
40,280,112,90,90,-0.204753045059,0.202351891147,-4.19968278323,-20.7543540089,-1.01186622917,0.0487544073274
40,300,112,90,90,0.137058748836,-0.135451450879,-4.2517220877,31.3892694401,-1.01186622917,-0.0322360554169
40,320,112,90,90,0.46233923485,-0.456917348879,-3.79094095967,8.29677614336,-1.01186622917,-0.121958964745
40,340,112,90,90,0.731854785741,-0.723272271222,-2.87291640356,3.972109146,-1.01186622917,-0.254742805893
40,360,112,90,90,0.913097848445,-0.902389883293,-1.60837572946,1.78235124223,-1.01186622917,-0.567714267083
50,0,112,90,90,0.913097848445,0.902389883293,-1.34958748139,-1.49557026998,1.01186622917,-0.676575517363
50,20,112,90,90,0.984207834738,0.972665957583,-0.125731700093,-0.129265036072,1.01186622917,-7.82784161836
50,40,112,90,90,0.9366078308,0.925624162368,1.11328917983,1.20274429417,1.01186622917,0.841297883575
50,60,112,90,90,0.776039099609,0.766938432414,2.21803095427,2.89205868493,1.01186622917,0.349877488461
50,80,112,90,90,0.521868599887,0.515748608705,3.05524546098,5.92390441663,1.01186622917,0.170810694772
50,100,112,90,90,0.204753045059,0.202351891147,3.52395227447,17.4149707942,1.01186622917,0.0581032400872
50,120,112,90,90,-0.137058748836,-0.135451450879,3.56761843566,-26.3387244101,1.01186622917,-0.0384174348541
50,140,112,90,90,-0.46233923485,-0.456917348879,3.18097716107,-6.96182180186,1.01186622917,-0.145345034384
50,160,112,90,90,-0.731854785741,-0.723272271222,2.41066309463,-3.3329953194,1.01186622917,-0.303590654111
50,180,112,90,90,-0.913097848445,-0.902389883293,1.34958748139,-1.49557026998,1.01186622917,-0.676575517363
50,200,112,90,90,-0.984207834738,-0.972665957583,0.125731700093,-0.129265036072,1.01186622917,-7.82784161836
50,220,112,90,90,-0.9366078308,-0.925624162368,-1.11328917983,1.20274429417,1.01186622917,0.841297883575
50,240,112,90,90,-0.776039099609,-0.766938432414,-2.21803095427,2.89205868493,1.01186622917,0.349877488461
50,260,112,90,90,-0.521868599887,-0.515748608705,-3.05524546098,5.92390441663,1.01186622917,0.170810694772
50,280,112,90,90,-0.204753045059,-0.202351891147,-3.52395227447,17.4149707942,1.01186622917,0.0581032400872
50,300,112,90,90,0.137058748836,0.135451450879,-3.56761843566,-26.3387244101,1.01186622917,-0.0384174348541
50,320,112,90,90,0.46233923485,0.456917348879,-3.18097716107,-6.96182180186,1.01186622917,-0.145345034384
50,340,112,90,90,0.731854785741,0.723272271222,-2.41066309463,-3.3329953194,1.01186622917,-0.303590654111
50,360,112,90,90,0.913097848445,0.902389883293,-1.34958748139,-1.49557026998,1.01186622917,-0.676575517363
60,0,112,90,90,0.802964772034,2.5983281121,-1.04979270061,-0.404026225835,0.309031322216,-0.764879362911
60,20,112,90,90,0.865497844508,2.80068000325,-0.0978019008135,-0.0349207694917,0.309031322216,-8.84949921534
60,40,112,90,90,0.823639103546,2.66522855237,0.865985251626,0.324919696233,0.309031322216,0.951100612857
60,60,112,90,90,0.682437331079,2.20831120349,1.72532180214,0.781285626507,0.309031322216,0.395542054956
60,80,112,90,90,0.458923544781,1.48503893227,2.37655908027,1.60033452904,0.309031322216,0.193104202033
60,100,112,90,90,0.180056805992,0.582649048972,2.74114825905,4.70463010948,0.309031322216,0.0656866352986
60,120,112,90,90,-0.120527440955,-0.390016908611,2.77511450275,-7.11536972238,0.309031322216,-0.0434315199735
60,140,112,90,90,-0.406574299727,-1.31564107098,2.47436098109,-1.88072646535,0.309031322216,-0.164314868701
60,160,112,90,90,-0.643582297554,-2.08257950339,1.87516300743,-0.900404044298,0.309031322216,-0.343214053928
60,180,112,90,90,-0.802964772034,-2.5983281121,1.04979270061,-0.404026225835,0.309031322216,-0.764879362911
60,200,112,90,90,-0.865497844508,-2.80068000325,0.0978019008135,-0.0349207694917,0.309031322216,-8.84949921534
60,220,112,90,90,-0.823639103546,-2.66522855237,-0.865985251626,0.324919696233,0.309031322216,0.951100612857
60,240,112,90,90,-0.682437331079,-2.20831120349,-1.72532180214,0.781285626507,0.309031322216,0.395542054956
60,260,112,90,90,-0.458923544781,-1.48503893227,-2.37655908027,1.60033452904,0.309031322216,0.193104202033
60,280,112,90,90,-0.180056805992,-0.582649048972,-2.74114825905,4.70463010948,0.309031322216,0.0656866352986
60,300,112,90,90,0.120527440955,0.390016908611,-2.77511450275,-7.11536972238,0.309031322216,-0.0434315199735
60,320,112,90,90,0.406574299727,1.31564107098,-2.47436098109,-1.88072646535,0.309031322216,-0.164314868701
60,340,112,90,90,0.643582297554,2.08257950339,-1.87516300743,-0.900404044298,0.309031322216,-0.343214053928
60,360,112,90,90,0.802964772034,2.5983281121,-1.04979270061,-0.404026225835,0.309031322216,-0.764879362911
70,0,112,90,90,0.595982293617,3.98086962335,-0.718100499851,-0.180387846826,0.149711583148,-0.829942736066
70,20,112,90,90,0.642396040842,4.29089070688,-0.0669004402675,-0.0155912710991,0.149711583148,-9.60226925673
70,40,112,90,90,0.611327344786,4.08336704436,0.592368799758,0.145068712492,0.149711583148,1.0320046313
70,60,112,90,90,0.506523548718,3.38332905222,1.1801896201,0.348824959644,0.149711583148,0.429188276266
70,80,112,90,90,0.340625537183,2.27521164375,1.62566215451,0.714510300164,0.149711583148,0.209530335831
70,100,112,90,90,0.133643058767,0.892670132507,1.87505584088,2.10050249537,0.149711583148,0.0712741753356
70,120,112,90,90,-0.0894587448988,-0.597540571128,1.89829011995,-3.17683888203,0.149711583148,-0.0471259603358
70,140,112,90,90,-0.301770503659,-2.01567906313,1.69256259478,-0.839698454851,0.149711583148,-0.17829207888
70,160,112,90,90,-0.47768428602,-3.19069691186,1.28268704112,-0.402008425292,0.149711583148,-0.37240906839
70,180,112,90,90,-0.595982293617,-3.98086962335,0.718100499851,-0.180387846826,0.149711583148,-0.829942736066
70,200,112,90,90,-0.642396040842,-4.29089070688,0.0669004402675,-0.0155912710991,0.149711583148,-9.60226925673
70,220,112,90,90,-0.611327344786,-4.08336704436,-0.592368799758,0.145068712492,0.149711583148,1.0320046313
70,240,112,90,90,-0.506523548718,-3.38332905222,-1.1801896201,0.348824959644,0.149711583148,0.429188276266
70,260,112,90,90,-0.340625537183,-2.27521164375,-1.62566215451,0.714510300164,0.149711583148,0.209530335831
70,280,112,90,90,-0.133643058767,-0.892670132507,-1.87505584088,2.10050249537,0.149711583148,0.0712741753356
70,300,112,90,90,0.0894587448988,0.597540571128,-1.89829011995,-3.17683888203,0.149711583148,-0.0471259603358
70,320,112,90,90,0.301770503659,2.01567906313,-1.69256259478,-0.839698454851,0.149711583148,-0.17829207888
70,340,112,90,90,0.47768428602,3.19069691186,-1.28268704112,-0.402008425292,0.149711583148,-0.37240906839
70,360,112,90,90,0.595982293617,3.98086962335,-0.718100499851,-0.180387846826,0.149711583148,-0.829942736066
80,0,112,90,90,0.317115554828,4.88325950664,-0.364589178779,-0.0746610288237,0.0649393206314,-0.869788719156
80,20,112,90,90,0.341811793895,5.26355666446,-0.0339662436972,-0.0064530973755,0.0649393206314,-10.0632792057
80,40,112,90,90,0.325280486014,5.00899120673,0.300753521663,0.0600427330075,0.0649393206314,1.08155171123
80,60,112,90,90,0.269515550891,4.15026748463,0.599197973661,0.144375748281,0.0649393206314,0.449793828981
80,80,112,90,90,0.181243062704,2.79096025246,0.825370306815,0.295729867915,0.0649393206314,0.219589996402
80,100,112,90,90,0.0711099862926,1.09502202365,0.951990799799,0.869380504898,0.0649393206314,0.0746960856214
80,120,112,90,90,-0.0476000039374,-0.732992022008,0.963787152439,-1.31486717932,0.0649393206314,-0.0493885022403
80,140,112,90,90,-0.160568731191,-2.472596412,0.859336550512,-0.34754420347,0.0649393206314,-0.186851974463
80,160,112,90,90,-0.254170499722,-3.91396918308,0.651237278136,-0.166387942182,0.0649393206314,-0.390288621758
80,180,112,90,90,-0.317115554828,-4.88325950664,0.364589178779,-0.0746610288237,0.0649393206314,-0.869788719156
80,200,112,90,90,-0.341811793895,-5.26355666446,0.0339662436972,-0.0064530973755,0.0649393206314,-10.0632792057
80,220,112,90,90,-0.325280486014,-5.00899120673,-0.300753521663,0.0600427330075,0.0649393206314,1.08155171123
80,240,112,90,90,-0.269515550891,-4.15026748463,-0.599197973661,0.144375748281,0.0649393206314,0.449793828981
80,260,112,90,90,-0.181243062704,-2.79096025246,-0.825370306815,0.295729867915,0.0649393206314,0.219589996402
80,280,112,90,90,-0.0711099862926,-1.09502202365,-0.951990799799,0.869380504898,0.0649393206314,0.0746960856214
80,300,112,90,90,0.0476000039374,0.732992022008,-0.963787152439,-1.31486717932,0.0649393206314,-0.0493885022403
