Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,source,,
150,80,-90,0.802566234,1.112891858,2.304624232,2.070842926,0.721153837,0.348241688,S0173ab_DWAK_15.csv,,
150,80,90,0.802566234,1.112891858,2.304624232,2.070842926,0.721153837,0.348241688,S0173ab_DWAK_15.csv,,
150,90,45,0.93500058,1.229258736,0.360465837,0.293238377,0.760621464,2.593867393,S0173ab_DWAK_15.csv,,
150,90,100,0.785405875,1.034976227,2.173093285,2.099655265,0.758863687,0.361422991,S0173ab_DWAK_15.csv,,
155,80,-90,0.851091611,1.153325427,1.950215116,1.690949553,0.737945762,0.436409094,S0173ab_DWAK_15.csv,,
155,80,90,0.851091611,1.153325427,1.950215116,1.690949553,0.737945762,0.436409094,S0173ab_DWAK_15.csv,,
40,70,0,0.720189234,2.465586966,1.469459239,0.595987592,0.292096464,0.490104941,S0173ab_DWAK_15.csv,,
40,80,-90,0.762212038,2.015697523,1.609623339,0.798544088,0.378138103,0.47353441,S0173ab_DWAK_15.csv,,
40,80,90,0.762212038,2.015697523,1.609623339,0.798544088,0.378138103,0.47353441,S0173ab_DWAK_15.csv,,
45,45,0,0.885618031,1.622525829,1.687252506,1.03989254,0.545826769,0.524887667,S0173ab_DWAK_15.csv,,
110,20,-100,0.65736804,2.443691509,1.312444615,0.53707459,0.269006148,0.500872976,S0173ab_DWAK_15.csv,,
112,20,-100,0.669693546,2.511845594,1.200508896,0.47793897,0.266614137,0.557841385,S0173ab_DWAK_15.csv,,
115,0,0,0.894200349,0.645838528,1.669174091,2.584506837,1.384557145,0.535714251,S0173ab_DWAK_15.csv,,
140,0,-100,0.876182843,0.632825338,1.799439765,2.843501449,1.384557145,0.486919796,S0173ab_DWAK_15.csv,,
140,20,45,0.777472479,3.333167335,1.398101099,0.419451218,0.233253359,0.556091744,S0173ab_DWAK_15.csv,,
150,0,-90,0.876182843,0.632825338,1.799439765,2.843501449,1.384557145,0.486919796,S0173ab_DWAK_15.csv,,
150,0,90,0.876182843,0.632825338,1.799439765,2.843501449,1.384557145,0.486919796,S0173ab_DWAK_15.csv,,
150,90,-90,0.876182843,0.632825338,1.799439765,2.843501449,1.384557145,0.486919796,S0173ab_DWAK_15.csv,,
150,90,90,0.876182843,0.632825338,1.799439765,2.843501449,1.384557145,0.486919796,S0173ab_DWAK_15.csv,,
160,0,45,0.894200349,0.645838528,1.669174091,2.584506837,1.384557145,0.535714251,S0173ab_DWAK_15.csv,,
160,0,100,0.876182843,0.632825338,1.799439765,2.843501449,1.384557145,0.486919796,S0173ab_DWAK_15.csv,,
160,70,-100,0.751404245,3.164688559,1.379336938,0.435852348,0.237433868,0.544757575,S0173ab_DWAK_15.csv,,
160,90,100,0.875778429,0.969107113,1.771191298,1.827652768,0.903696214,0.494457279,S0173ab_DWAK_15.csv,,
45,20,-90,0.387230976,2.301225269,3.454495332,1.501154789,0.168271651,0.112094804,S0173ab_DWAK_25.csv,,
45,20,90,0.387230976,2.301225269,3.454495332,1.501154789,0.168271651,0.112094804,S0173ab_DWAK_25.csv,,
40,90,100,0.646404441,1.00968663,2.541886523,2.517500429,0.640203031,0.254301061,S0173ab_DWAK_25.csv,,
50,70,100,0.506559122,3.230766661,0.886605868,0.274425844,0.156792234,0.571346458,S0173ab_DWAK_25.csv,,
40,0,0,0.658212248,2.368991673,3.583672083,1.512741528,0.277844897,0.183669776,S0173ab_EH45TcoldCrust1b_10.csv,,
45,0,-90,0.686910819,2.47228157,3.457532858,1.398519044,0.277844897,0.1986708,S0173ab_EH45TcoldCrust1b_10.csv,,
45,0,0,0.720823422,2.594337446,3.294866199,1.270022219,0.277844897,0.218771682,S0173ab_EH45TcoldCrust1b_10.csv,,
45,0,90,0.686910819,2.47228157,3.457532858,1.398519044,0.277844897,0.1986708,S0173ab_EH45TcoldCrust1b_10.csv,,
45,90,-90,0.686910819,2.47228157,3.457532858,1.398519044,0.277844897,0.1986708,S0173ab_EH45TcoldCrust1b_10.csv,,
45,90,90,0.686910819,2.47228157,3.457532858,1.398519044,0.277844897,0.1986708,S0173ab_EH45TcoldCrust1b_10.csv,,
50,20,-100,0.081701645,2.776417685,3.90650697,1.407031439,0.029427001,0.020914245,S0173ab_EH45TcoldCrust1b_10.csv,,
50,60,-100,0.75526392,0.609144245,0.79532467,1.305642592,1.23987697,0.94962969,S0173ab_EH45TcoldCrust1b_10.csv,,
50,90,-100,0.688873444,2.521398317,3.753352776,1.488599699,0.273210877,0.183535491,S0173ab_EH45TcoldCrust1b_10.csv,,
110,60,-100,0.269918872,2.363380103,3.15965028,1.336920064,0.114208828,0.085426819,S0173ab_EH45TcoldCrust1b_10.csv,,
110,70,100,0.02899575,2.324533889,3.446341645,1.482594709,0.012473791,0.008413487,S0173ab_EH45TcoldCrust1b_10.csv,,
