Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Ratio1,Ratio2,Ratio3,Sum,source
70,40,30,0.89566628037,1.15802568552,0.910485046301,0.786239077151,0.773442499221,0.983724317065,57.5402518001,29.6228844093,0.000117270566976,0.0247117231321,0.0279026184783,0.0527316121773,S0173a_EH45TcoldCrust1b_55.csv
70,45,60,0.634233552458,0.786937294853,0.728210937848,0.925373524182,0.805951829461,0.870947577816,57.5402518001,29.6228844093,0.00831627230271,0.0188173427991,0.0518492478956,0.0789828629974,S0173a_EH45TcoldCrust1b_55.csv
70,55,30,0.915541315607,1.30158497438,0.753105777856,0.578606693131,0.703404951368,1.21568754686,57.5402518001,29.6228844093,0.0171410667884,0.0410177494269,0.00381880052365,0.0619776167389,S0173a_EH45TcoldCrust1b_55.csv
75,35,30,0.873812212931,1.15185101193,0.968157451426,0.840523159156,0.75861565765,0.902551761229,57.5402518001,29.6228844093,0.00189242384341,0.0277367505795,0.0441047797218,0.0737339541448,S0173a_EH45TcoldCrust1b_55.csv
75,45,60,0.643681602688,0.759207687073,0.346722495625,0.456689917039,0.847833357918,1.85647487778,57.5402518001,29.6228844093,0.0515567708997,0.012611522109,0.0175483715666,0.0817166645753,S0173a_EH45TcoldCrust1b_55.csv
75,50,30,0.882383791493,1.12081399775,0.685504983783,0.611613510503,0.787270495609,1.28720259133,57.5402518001,29.6228844093,0.0113527672292,0.0220835040719,0.00115061910028,0.0345868904014,S0173a_EH45TcoldCrust1b_55.csv
75,50,60,0.664828851801,0.654118227104,0.417260844409,0.637898207265,1.01637414194,1.59331713174,57.5402518001,29.6228844093,0.0076814297172,0.000484762936143,0.00436651896961,0.012532711623,S0173a_EH45TcoldCrust1b_55.csv
80,35,30,0.861542323053,1.10785932472,0.514214624924,0.46415155196,0.77766400826,1.67545278041,57.5402518001,29.6228844093,0.0487988595382,0.0238899147602,0.00782500723789,0.0805137815363,S0173a_EH45TcoldCrust1b_55.csv
80,40,60,0.623412384853,0.782425130365,0.725849295213,0.927691694762,0.796769378512,0.85887303186,57.5402518001,29.6228844093,0.00854533060781,0.0203826904954,0.0550426462309,0.0839706673341,S0173a_EH45TcoldCrust1b_55.csv
80,45,30,0.849785620196,0.987221234574,0.587957473556,0.595568098583,0.860785394839,1.44531817081,57.5402518001,29.6228844093,0.0139972800337,0.0109858891353,0.000453695439816,0.0254368646088,S0173a_EH45TcoldCrust1b_55.csv
85,30,30,0.841883003716,1.15154072784,0.600947133764,0.521863551356,0.731092685964,1.40092689758,57.5402518001,29.6228844093,0.0304430623177,0.0339464763426,4.38950974479e-05,0.0644334337577,S0173a_EH45TcoldCrust1b_55.csv
