Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,source
160,80,-90,0.766540520197,2.68100082844,1.80466260042,0.673130191261,0.285915808778,0.424755585903,S0173a_DWAK_10.csv
160,80,90,0.766540520197,2.68100082844,1.80466260042,0.673130191261,0.285915808778,0.424755585903,S0173a_DWAK_10.csv
40,0,-100,0.626813725302,0.643179151082,3.33183565524,5.18026066242,0.974555416244,0.188128644435,S0173a_DWAK_10.csv
40,0,-90,0.74673198412,0.766228345431,2.79470869808,3.64735749433,0.974555416244,0.267194926123,S0173a_DWAK_10.csv
40,0,45,0.085899924444,0.088142678202,4.33626508527,49.1959760439,0.974555416244,0.0198096571023,S0173a_DWAK_10.csv
40,0,0,0.625251145964,0.641575774494,3.33769619556,5.20234137299,0.974555416244,0.187330155092,S0173a_DWAK_10.csv
40,0,90,0.74673198412,0.766228345431,2.79470869808,3.64735749433,0.974555416244,0.267194926123,S0173a_DWAK_10.csv
40,0,100,0.843961169464,0.865996079235,2.17266593131,2.50886347342,0.974555416244,0.388444977804,S0173a_DWAK_10.csv
40,80,-90,0.833772991672,0.797425043928,2.01273547356,2.52404346826,1.04558164811,0.414248669349,S0173a_DWAK_10.csv
40,80,90,0.833772991672,0.797425043928,2.01273547356,2.52404346826,1.04558164811,0.414248669349,S0173a_DWAK_10.csv
40,90,-90,0.74673198412,0.766228345431,2.79470869808,3.64735749433,0.974555416244,0.267194926123,S0173a_DWAK_10.csv
40,90,90,0.74673198412,0.766228345431,2.79470869808,3.64735749433,0.974555416244,0.267194926123,S0173a_DWAK_10.csv
45,0,-100,0.55946080423,0.574067718371,3.56334065061,6.20717824147,0.974555416244,0.157004580557,S0173a_DWAK_10.csv
45,0,-90,0.689396215445,0.707395602091,3.07497337873,4.34689354816,0.974555416244,0.224195832138,S0173a_DWAK_10.csv
45,0,45,0.00101990122916,0.00104652974285,4.35322774724,4159.67895511,0.974555416244,0.000234286209768,S0173a_DWAK_10.csv
45,0,0,0.687953857295,0.705915585536,3.08142034151,4.36513997516,0.974555416244,0.223258686271,S0173a_DWAK_10.csv
45,0,90,0.689396215445,0.707395602091,3.07497337873,4.34689354816,0.974555416244,0.224195832138,S0173a_DWAK_10.csv
45,0,100,0.798384671506,0.819229628401,2.49317459675,3.04331595235,0.974555416244,0.320228143086,S0173a_DWAK_10.csv
45,80,-90,0.791372716517,0.769751117642,2.26640483422,2.94433458071,1.0280890776,0.349175356746,S0173a_DWAK_10.csv
45,80,90,0.791372716517,0.769751117642,2.26640483422,2.94433458071,1.0280890776,0.349175356746,S0173a_DWAK_10.csv
45,90,-90,0.689396215445,0.707395602091,3.07497337873,4.34689354816,0.974555416244,0.224195832138,S0173a_DWAK_10.csv
45,90,90,0.689396215445,0.707395602091,3.07497337873,4.34689354816,0.974555416244,0.224195832138,S0173a_DWAK_10.csv
50,0,-100,0.487850048625,0.500587283692,3.76772647201,7.52661243055,0.974555416244,0.129481280621,S0173a_DWAK_10.csv
50,0,-90,0.626813725302,0.643179151082,3.33183565524,5.18026066242,0.974555416244,0.188128644435,S0173a_DWAK_10.csv
