Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit
2244,183,23,81,26,308,54,312,32,-34,0.052768836
2316,183,24,80,27,309,53,314,32,-32,0.020886279
2238,183,24,82,24,313,55,312,30,-36,0.048432002
2310,183,25,80,25,311,53,314,30,-32,0.019137541
2356,183,26,80,26,312,52,316,30,-30,0.042097892
2243,184,22,83,25,310,55,312,32,-36,0.048656223
2367,184,23,81,29,307,52,316,34,-30,0.04538789
471,184,23,83,25,311,55,74,72,-116,0.050732665
2361,184,24,80,27,309,52,316,32,-30,0.023410116
473,184,25,82,25,312,54,74,74,-116,0.037162371
2309,184,25,82,25,313,54,314,30,-34,0.042176325
455,184,26,79,27,310,51,72,76,-118,0.05440628
2321,185,21,83,28,307,54,314,34,-34,0.041332679
470,185,22,83,27,309,54,74,72,-118,0.02446732
2242,185,22,85,25,311,56,312,32,-38,0.054317426
452,185,23,81,29,307,52,72,74,-120,0.038400193
2315,185,23,83,26,310,54,314,32,-34,0.015900782
2360,185,24,82,27,311,53,316,32,-32,0.024444354
469,186,21,84,28,308,53,74,72,-120,0.022412136
2320,186,21,85,27,309,55,314,34,-36,0.03140234
2366,186,22,83,28,308,53,316,34,-32,0.022939038
2314,186,22,85,25,312,55,314,32,-36,0.033523843
2404,186,23,83,29,309,52,318,34,-30,0.046078573
489,186,23,85,25,313,55,76,72,-116,0.046810535
486,187,20,86,26,310,56,76,70,-118,0.044422135
2371,187,20,86,29,307,54,316,36,-34,0.03608221
2365,187,21,85,28,309,54,316,34,-34,0.005504218
488,187,22,85,27,311,54,76,72,-118,0.028638049
2359,187,23,85,26,312,54,316,32,-34,0.04189319
2323,188,18,88,28,308,56,314,36,-38,0.052500116
2319,188,20,87,26,311,56,314,34,-38,0.036215609
19,188,20,87,28,308,55,76,70,-120,0.022841556
468,188,21,85,30,306,52,74,72,-122,0.047264292
487,188,21,86,28,310,53,76,72,-120,0.035878181
2408,188,21,86,30,307,52,318,36,-32,0.039472933
2364,188,21,87,27,311,55,316,34,-36,0.025259854
2403,188,22,85,28,310,53,318,34,-32,0.042966689
2322,189,18,90,27,309,57,314,36,-40,0.050329951
2370,189,19,88,28,308,55,316,36,-36,0.01616038
484,189,19,88,30,307,54,76,70,-122,0.030418729
2318,189,19,89,25,312,57,314,34,-40,0.052552289
506,189,20,88,26,312,56,78,70,-118,0.036876838
2407,189,20,88,29,309,54,318,36,-34,0.026934612
2402,189,21,87,28,311,54,318,34,-34,0.052224825
2374,190,17,91,29,307,56,316,38,-38,0.038652059
2412,190,18,89,31,306,53,318,38,-34,0.041727402
503,190,18,90,28,308,56,78,68,-120,0.036314783
2369,190,18,90,28,310,56,316,36,-38,0.017816882
2363,190,20,89,26,313,56,316,34,-38,0.049250695
21,190,20,89,28,310,55,78,70,-120,0.025620353
502,191,17,91,29,307,55,78,68,-122,0.021560234
527,191,18,91,26,312,58,80,68,-118,0.05177421
2411,191,18,91,30,307,54,318,38,-36,0.018881219
2368,191,18,92,27,311,57,316,36,-40,0.03934926
2406,191,19,90,28,310,55,318,36,-36,0.032351934
504,191,19,90,30,309,54,78,70,-122,0.04194421
2417,192,16,92,31,305,54,318,40,-36,0.053770482
501,192,16,92,31,306,54,78,68,-124,0.03787993
523,192,16,93,27,308,58,80,66,-120,0.052056238
2373,192,16,93,28,308,57,316,38,-40,0.031592907
2410,192,17,93,29,309,56,318,38,-38,0.010898955
2447,192,18,91,31,308,53,320,38,-34,0.05003454
526,192,18,92,28,310,56,80,68,-120,0.029675133
2405,192,18,92,28,312,56,318,36,-38,0.050967651
2375,193,14,96,29,306,58,316,40,-42,0.05379789
522,193,15,94,29,307,57,80,66,-122,0.026117864
2416,193,15,94,30,306,55,318,40,-38,0.030971613
2372,193,15,95,27,309,58,316,38,-42,0.040860558
525,193,17,93,29,309,55,80,68,-122,0.030284117
2446,193,18,93,30,309,54,320,38,-36,0.049990149
2421,194,13,97,31,304,56,318,42,-40,0.052573838
521,194,14,95,31,306,55,80,66,-124,0.022497141
98,194,15,96,30,307,57,318,40,-40,0.012848514
2450,194,16,94,31,307,54,320,40,-36,0.037791929
524,194,16,94,31,308,54,80,68,-124,0.052145827
548,194,16,95,27,310,58,82,66,-120,0.042329125
2409,194,16,95,28,310,57,318,38,-40,0.033247609
545,195,13,97,28,307,58,82,64,-122,0.037895842
2454,195,14,96,32,305,55,320,42,-38,0.036069999
520,195,14,97,33,305,54,80,66,-126,0.045977494
2414,195,14,98,29,308,58,318,40,-42,0.024240287
547,195,15,96,29,309,57,82,66,-122,0.029183348
2449,195,15,96,30,308,55,320,40,-38,0.029261325
2420,196,12,99,30,305,57,318,42,-42,0.037632923
544,196,13,99,30,306,57,82,64,-124,0.014627353
2453,196,13,99,31,306,56,320,42,-40,0.012955969
546,196,14,97,31,308,55,82,66,-124,0.041228561
100,196,15,98,30,309,57,320,40,-40,0.039456883
2458,197,11,99,32,303,56,320,44,-40,0.048694498
569,197,11,100,28,307,60,84,62,-122,0.05112557
2419,197,11,100,29,306,59,318,42,-44,0.035712222
2487,197,12,99,33,304,54,322,44,-38,0.051518052
543,197,12,100,32,305,56,82,64,-126,0.028218532
571,197,13,99,28,309,58,84,64,-122,0.037872327
2413,197,13,100,28,309,59,318,40,-44,0.04813935
2483,197,14,98,32,307,55,322,42,-38,0.051522199
2457,198,10,101,31,304,57,320,44,-42,0.026144885
2418,198,11,102,28,307,60,318,42,-46,0.049334771
568,198,11,102,30,305,58,84,62,-124,0.02134942
2452,198,12,101,30,307,57,320,42,-42,0.017290658
