Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit
3673,290.981295161,9.89330414976,134.415821406,79.2372329772,21.7143883537,4.1957042584,336,86,170,0.101368307959
187,287.495670519,19.0114428736,17.7977283813,0.876598455092,110.339802741,70.9667965641,16,26,-92,0.101375780116
2032,295.554531265,15.7728235462,197.215293729,27.1790528517,52.3057546951,57.8907689399,184,66,-120,0.101381080953
541,284.642955307,19.2758830693,186.684220422,21.5992790034,52.5788999909,60.3662728668,46,32,-46,0.101440025515
3439,281.886295594,4.29428291897,16.5471771291,47.2591746481,187.952089268,42.4184220584,334,58,-150,0.101457543706
382,284.619873998,20.9123582299,190.328741455,11.0794070106,74.1242190132,66.0849124701,34,26,-64,0.101468803933
1114,293.94060975,5.95199272963,189.859868746,66.803308043,26.3953307964,22.3333353809,68,70,-12,0.101507359708
1838,296.969004773,15.0648905397,191.020727192,45.5904995111,40.2693522982,40.5207151278,174,74,-138,0.101515905802
1190,297.358406256,14.5724707814,192.151547578,45.2564023725,40.4683382932,41.1045120319,70,50,-22,0.101546226598
302,290.087253665,17.193662228,198.926315589,3.74624964568,97.030290087,72.3779214062,26,28,-82,0.101576582315
2570,281.911168349,14.3550915044,20.6585206098,30.720340243,170.134598566,55.4006803496,216,66,-56,0.101649910331
2006,285.537412186,21.0168752395,188.93973738,16.649462684,63.5746803771,62.6749501411,182,68,-108,0.10166629108
359,288.560627454,19.9219299945,195.720300915,7.78545936846,85.4224673299,68.4890189508,32,26,-72,0.101676808453
3645,290.46390124,1.48255812364,27.0152852641,77.2192337967,200.129944626,12.6915878742,336,80,-172,0.101700854926
226,285.072200384,15.0510921442,194.534491761,1.99878115941,97.1489927563,74.8105133513,18,30,-86,0.101726683247
3151,278.668251398,2.22693030725,11.4428166441,51.2236417404,186.883739344,38.6877343293,330,62,-152,0.101755651748
2984,107.53609876,1.48255812364,10.9847147359,77.2192337967,197.870055374,12.6915878742,242,80,-8,0.101795755611
313,284.312591563,15.8139851561,192.053912725,7.92164213499,76.3398505224,72.2188226518,26,30,-74,0.101834689213
2449,277.94259831,14.5471289177,14.8794138973,24.9582815817,160.533611079,60.5898338379,208,64,-62,0.10184421174
3921,285.118700886,13.5143131101,21.3567705593,24.3278887781,168.571827746,61.7302135248,346,38,-132,0.10184974299
47,283.580576301,13.8550646526,15.667554777,8.398987392,136.015446491,73.7100390347,2,32,-106,0.101882145472
2608,278.168189386,4.92187388882,12.4624190134,41.0075091247,182.569228461,48.5670248769,220,62,-42,0.101965458093
2862,103.736827129,0.612763877966,12.4369994004,64.7571670385,194.025632832,25.2343375627,236,72,-18,0.101997910928
2362,285.277180497,14.2076746075,17.9334752751,10.3730686103,142.879402322,72.277877392,204,60,-78,0.101998745738
634,290.263659705,14.7615141898,192.785244529,26.2871297025,46.5790346375,59.2738551025,52,38,-44,0.101999554142
3723,284.810159249,11.9327899831,23.8431537761,36.6096244082,179.758305709,50.8622892739,338,46,-146,0.102022853776
2770,285.58608346,9.62735771497,26.3578399749,47.7729929317,187.222788664,40.6116848274,230,70,-38,0.102049292913
3794,276.286440738,10.5742153369,10.9005002783,23.312107013,163.637282433,64.1372352274,340,40,-128,0.102055571401
3807,279.816993803,8.93489372396,14.7860997447,28.8520958571,174.311029967,59.5405410658,340,44,-134,0.102132287157
248,285.609055465,15.1149161822,194.79910168,2.99588485067,93.8634087981,74.5770642717,20,30,-84,0.102141567263
3384,275.059869618,9.63874669167,10.6823584936,29.9798507651,169.164587237,58.1969462399,334,44,-136,0.102185907597
3215,275.307522877,9.4533019457,11.6200521382,33.4388201998,171.603043408,54.9001870573,332,46,-140,0.102211045232
3868,282.290258644,16.4582827836,18.8242168516,21.0659478585,157.266896367,62.762752346,344,34,-130,0.102265339577
869,289.968228343,17.0628840614,182.543758135,44.2929893394,35.3083510757,40.7585257845,64,48,-20,0.102326777754
2115,279.495356875,18.9765410922,188.877030058,1.79751791419,93.6678414056,70.9319828182,188,64,-92,0.102380101327
1923,287.367233163,20.8161622236,187.470556056,24.3263919775,53.2660262169,57.0410088726,178,70,-116,0.102440755982
1645,297.652055224,9.43326708069,185.007063277,66.6586334451,31.336311414,21.1443738982,166,82,-158,0.102489625586
2792,283.324143849,2.45915300527,16.8340586756,54.9503551702,191.604914887,34.9373830208,232,68,-28,0.102511936729
121,285.980833355,19.1829018296,17.1993168798,3.49775740748,117.125427404,70.4760573384,10,26,-98,0.102549119144
2369,275.569088825,11.3524247163,10.2949936736,22.3114192419,160.456726298,64.6822469676,204,60,-64,0.102550933481
