,Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod,Normalized
12171,2431,212,11,115,32,319,55,336,44,-40,0.030818926,35,NewGudkova,0.440147128
12172,2583,54,12,151,30,304,56,348,64,-56,0.030849331,35,NewGudkova,0.439579963
12173,2075,178,36,74,16,324,48,324,18,-20,0.03087689,35,NewGudkova,0.439065901
12174,830,56,14,154,29,303,56,112,40,-140,0.030897515,35,NewGudkova,0.438681175
12175,2558,52,8,147,28,307,59,346,60,-56,0.030904358,35,NewGudkova,0.438553512
12176,1040,97,41,199,13,304,45,120,14,-170,0.030928696,35,NewGudkova,0.438099527
12177,1926,143,44,49,3,316,44,320,4,0,0.030940992,35,NewGudkova,0.437870158
12178,406,174,38,69,17,319,46,68,86,-108,0.030950454,35,NewGudkova,0.437693657
12179,2465,220,2,129,29,314,60,338,50,-50,0.031327571,35,NewGudkova,0.430659071
12180,2147,173,38,68,17,319,45,326,18,-12,0.031375765,35,NewGudkova,0.429760085
12181,77,79,31,183,21,302,50,8,80,-68,0.031449962,35,NewGudkova,0.428376037
12182,2234,188,31,83,21,325,49,328,24,-24,0.031500225,35,NewGudkova,0.42743845
12183,1314,126,44,217,1,310,45,130,2,-178,0.031518776,35,NewGudkova,0.427092423
12184,1150,74,28,177,21,299,53,122,26,-148,0.031579281,35,NewGudkova,0.425963785
12185,2517,47,4,139,29,309,60,342,56,-54,0.031589779,35,NewGudkova,0.425767953
12186,1019,112,44,207,5,303,44,120,6,-178,0.031590716,35,NewGudkova,0.425750482
12187,408,170,39,68,13,323,47,68,86,-104,0.031655685,35,NewGudkova,0.42453857
12188,1921,138,45,45,1,314,44,320,2,4,0.031689707,35,NewGudkova,0.423903941
12189,1077,68,23,170,23,299,55,120,30,-144,0.031701107,35,NewGudkova,0.423691287
12190,2000,159,42,58,11,315,44,322,12,-6,0.031718352,35,NewGudkova,0.423369597
12191,2140,173,39,70,15,323,46,326,16,-14,0.031754798,35,NewGudkova,0.422689759
12192,1273,124,44,215,1,308,45,128,2,-178,0.031783219,35,NewGudkova,0.422159611
12193,149,96,39,197,11,300,47,18,86,-78,0.03179125,35,NewGudkova,0.422009797
12194,2166,191,28,88,22,326,52,326,26,-30,0.031835216,35,NewGudkova,0.421189677
12195,1891,140,44,45,3,312,44,318,4,2,0.031848767,35,NewGudkova,0.420936891
12196,139,91,38,194,15,302,46,16,86,-74,0.031955684,35,NewGudkova,0.418942508
12197,1234,112,43,207,5,304,45,126,6,-172,0.031965076,35,NewGudkova,0.418767319
12198,2562,52,10,148,29,304,58,346,62,-56,0.032019631,35,NewGudkova,0.417749671
12199,2158,180,35,75,20,320,47,326,22,-18,0.032052621,35,NewGudkova,0.417134293
12200,928,59,15,157,27,302,58,116,38,-138,0.032084921,35,NewGudkova,0.416531766
12201,1037,99,41,199,11,302,45,120,12,-170,0.032095645,35,NewGudkova,0.416331728
12202,988,70,26,172,23,298,53,118,28,-148,0.032110853,35,NewGudkova,0.416048056
12203,1069,72,28,175,21,297,53,120,26,-148,0.032111085,35,NewGudkova,0.416043721
12204,852,124,45,218,3,311,43,114,4,166,0.032139112,35,NewGudkova,0.415520927
