Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit
2468,124,46,32,2,300,44,322,2,20,0.025983782
1798,124,45,32,2,300,46,288,2,-14,0.053150127
2391,124,46,30,4,296,44,318,4,18,0.025879546
1806,124,45,32,2,300,45,290,2,-12,0.050983283
2428,124,46,32,2,300,44,320,2,18,0.026414586
1841,124,45,30,4,296,45,296,4,-4,0.051779121
1814,124,45,32,2,300,45,292,2,-10,0.048832869
2382,124,46,32,2,300,44,318,2,16,0.027074976
2339,124,46,30,4,296,44,316,4,16,0.025496512
2330,124,46,32,2,300,45,316,2,14,0.027952422
1823,124,45,32,2,300,45,294,2,-8,0.04670585
1856,124,45,30,4,296,45,298,4,-2,0.047914446
2260,124,46,30,4,296,44,314,4,14,0.025881282
1834,124,45,32,2,300,45,296,2,-6,0.044610008
2251,124,45,32,2,300,45,314,2,12,0.029030082
1849,124,45,32,2,300,45,298,2,-4,0.042554089
1874,124,45,30,4,296,45,300,4,0,0.044157766
1867,124,45,32,2,300,45,300,2,-2,0.040547951
2087,124,45,32,2,300,45,310,2,8,0.031707458
2166,124,45,32,2,300,45,312,2,10,0.030288554
2175,124,46,30,4,296,44,312,4,12,0.027014205
1890,124,45,32,2,300,45,302,2,0,0.038602734
1897,124,45,30,4,296,45,302,4,2,0.04054795
1922,124,45,32,2,300,45,304,2,2,0.036731031
1965,124,45,32,2,300,45,306,2,4,0.034947038
2018,124,45,32,2,300,45,308,2,6,0.03326665
2095,124,46,30,4,296,44,310,4,10,0.0288164
1930,124,45,30,4,296,45,304,4,4,0.037135171
1973,124,45,30,4,296,45,306,4,6,0.033984243
2026,124,45,30,4,296,44,308,4,8,0.031177678
1599,124,47,32,2,300,43,212,88,92,0.043765734
1593,124,47,30,4,296,43,210,88,94,0.044415091
2711,125,47,32,3,299,43,340,4,38,0.054179571
2689,125,47,32,3,299,43,338,4,36,0.050223008
2668,126,47,32,3,299,43,336,4,34,0.046194949
2755,126,46,34,2,303,44,346,2,42,0.053255498
2739,126,46,34,2,303,44,344,2,40,0.051983281
2645,126,47,32,3,299,43,334,4,32,0.042102013
2723,126,46,34,2,303,44,342,2,38,0.050763484
2622,126,47,32,4,299,43,332,4,30,0.037951956
2705,126,46,34,2,302,44,340,2,36,0.049606251
2683,126,46,34,2,302,44,338,2,34,0.048522274
2597,126,47,32,4,299,43,330,4,28,0.033754332
2661,126,46,34,2,302,44,336,2,32,0.047522675
2571,126,47,32,4,299,43,328,4,26,0.029521741
2638,126,46,34,2,302,44,334,2,30,0.046618837
2614,126,46,34,2,302,44,332,2,28,0.045822173
2542,126,47,32,4,299,43,326,4,24,0.025272363
2589,126,46,34,2,302,44,330,2,26,0.045143849
2511,126,46,32,4,298,43,324,4,22,0.021035566
2563,126,46,34,2,302,44,328,2,24,0.044594444
1828,126,44,32,4,298,45,294,4,-8,0.050163666
2534,126,46,34,2,302,44,326,2,22,0.044183587
2476,126,46,32,4,298,44,322,4,20,0.01686569
2503,126,46,34,2,302,44,324,2,20,0.043919577
2436,126,46,32,4,298,44,320,4,18,0.012880708
1840,126,45,32,4,298,45,296,4,-6,0.045590699
2467,126,46,34,2,302,44,322,2,18,0.043809032
1855,126,45,32,4,298,45,298,4,-4,0.041006826
2427,126,46,34,2,302,44,320,2,16,0.043856585
2390,126,46,32,4,298,44,318,4,16,0.009384207
2381,126,46,34,2,302,45,318,2,14,0.044064683
1873,126,45,32,4,298,45,300,4,-2,0.036421164
2338,126,46,32,4,298,44,316,4,14,0.007205367
1848,126,45,34,2,302,45,298,2,-6,0.054085566
2329,126,45,34,2,302,45,316,2,12,0.044433493
1866,126,45,34,2,302,45,300,2,-4,0.052552838
1896,126,45,32,4,298,45,302,4,0,0.031845396
1889,126,45,34,2,302,45,302,2,-2,0.051112113
2165,126,45,34,2,302,45,312,2,8,0.045642829
2250,126,45,34,2,302,45,314,2,10,0.044960934
2259,126,46,32,4,298,44,314,4,12,0.00763626
1921,126,45,34,2,302,45,304,2,0,0.049773645
1929,126,45,32,4,298,45,304,4,2,0.027295826
1964,126,45,34,2,302,45,306,2,2,0.048547707
2017,126,45,34,2,302,45,308,2,4,0.047444357
2086,126,45,34,2,302,45,310,2,6,0.046473154
2174,126,46,32,4,298,44,312,4,10,0.01038785
1972,126,45,32,4,298,45,306,4,4,0.022797796
2025,126,45,32,4,298,45,308,4,6,0.018396195
2094,126,45,32,4,298,44,310,4,8,0.014183754
1600,126,47,32,4,298,43,212,88,94,0.039044028
2667,128,47,34,3,301,43,336,4,32,0.050967722
2644,128,47,34,4,301,43,334,4,30,0.046742805
2621,128,47,34,4,301,43,332,4,28,0.042478271
2596,128,47,34,4,301,43,330,4,26,0.038188144
2570,128,47,34,4,301,43,328,4,24,0.033891493
2541,128,46,34,4,300,43,326,4,22,0.029616013
1827,128,44,34,4,300,46,294,4,-10,0.050466616
1839,128,44,34,4,300,45,296,4,-8,0.045839963
2510,128,46,34,4,300,44,324,4,20,0.025405028
2475,128,46,34,4,300,44,322,4,18,0.021331946
2482,128,47,32,6,297,43,322,6,20,0.052647811
1854,128,45,34,4,300,45,298,4,-6,0.041220407
1872,128,45,34,4,300,45,300,4,-4,0.036624751
2435,128,46,34,4,300,44,320,4,16,0.017531351
2443,128,47,32,6,297,43,320,6,18,0.048455672
1903,128,45,32,6,296,45,302,6,0,0.050655735
1895,128,45,34,4,300,45,302,4,-2,0.032076713
2389,128,46,34,4,300,44,318,4,14,0.014264039
1928,128,45,34,4,300,45,304,4,0,0.027612251
2337,128,46,34,4,300,44,316,4,12,0.012015688
2397,128,46,32,6,297,43,318,6,16,0.044828869
1936,128,45,32,6,296,45,304,6,2,0.046621808
1971,128,45,34,4,300,45,306,4,2,0.023290332
2258,128,46,34,4,300,44,314,4,10,0.011440715
2024,128,45,34,4,300,45,308,4,4,0.019215767
2093,128,45,34,4,300,45,310,4,6,0.015588119
2173,128,45,34,4,300,44,312,4,8,0.012791322
1979,128,45,32,6,296,44,306,6,4,0.043280338
2345,128,46,32,6,296,43,316,6,14,0.041941376
2033,128,45,32,6,296,44,308,6,6,0.040809563
2266,128,46,32,6,296,44,314,6,12,0.039976958
2102,128,46,32,6,296,44,310,6,8,0.039376626
2181,128,46,32,6,296,44,312,6,10,0.039093449
1606,128,47,34,4,300,43,214,88,94,0.044044587
